Year,Стаття Кримінального Кодексу України,Група,Одиниця виміру,Value
2021,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),3661.0
2022,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),6047.0
2023,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),7289.0
2015,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2241.0
2016,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2362.0
2017,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2208.0
2018,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2217.0
2019,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2222.0
2020,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2034.0
2021,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2214.0
2022,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2561.0
2023,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),4206.0
2015,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),14.8
2016,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),8.24
2017,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),6.49
2018,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),3.93
2019,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),3.72
2020,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),3.9
2021,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),3.3
2022,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),27.09
2023,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),111.97
2015,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від  кримінальних правопорушень (усього),6330.0
2016,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від  кримінальних правопорушень (усього),3511.0
2017,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від  кримінальних правопорушень (усього),2751.0
2018,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від  кримінальних правопорушень (усього),1657.0
2019,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від  кримінальних правопорушень (усього),1557.0
2020,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від  кримінальних правопорушень (усього),1624.0
2021,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від  кримінальних правопорушень (усього),1346.0
2022,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від  кримінальних правопорушень (усього),11154.0
2023,"умисних убивств (та замахів), ст.ст.115-118",всі,Потерпіло від  кримінальних правопорушень (усього),46095.0
2015,"умисних убивств (та замахів), ст.ст.115-118",жінки,Потерпіло від  кримінальних правопорушень (усього),1214.0
2016,"умисних убивств (та замахів), ст.ст.115-118",жінки,Потерпіло від  кримінальних правопорушень (усього),980.0
2017,"умисних убивств (та замахів), ст.ст.115-118",жінки,Потерпіло від  кримінальних правопорушень (усього),461.0
2018,"умисних убивств (та замахів), ст.ст.115-118",жінки,Потерпіло від  кримінальних правопорушень (усього),465.0
2019,"умисних убивств (та замахів), ст.ст.115-118",жінки,Потерпіло від  кримінальних правопорушень (усього),429.0
2020,"умисних убивств (та замахів), ст.ст.115-118",жінки,Потерпіло від  кримінальних правопорушень (усього),405.0
2021,"умисних убивств (та замахів), ст.ст.115-118",жінки,Потерпіло від  кримінальних правопорушень (усього),353.0
2022,"умисних убивств (та замахів), ст.ст.115-118",жінки,Потерпіло від  кримінальних правопорушень (усього),376.0
2023,"умисних убивств (та замахів), ст.ст.115-118",жінки,Потерпіло від  кримінальних правопорушень (усього),342.0
2015,"умисних убивств (та замахів), ст.ст.115-118",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),55.0
2016,"умисних убивств (та замахів), ст.ст.115-118",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),36.0
2017,"умисних убивств (та замахів), ст.ст.115-118",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),19.0
2018,"умисних убивств (та замахів), ст.ст.115-118",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),19.0
2019,"умисних убивств (та замахів), ст.ст.115-118",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),12.0
2020,"умисних убивств (та замахів), ст.ст.115-118",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),18.0
2021,"умисних убивств (та замахів), ст.ст.115-118",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),10.0
2022,"умисних убивств (та замахів), ст.ст.115-118",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),9.0
2023,"умисних убивств (та замахів), ст.ст.115-118",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),145.0
2015,"умисних убивств (та замахів), ст.ст.115-118",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),91.0
2016,"умисних убивств (та замахів), ст.ст.115-118",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),79.0
2017,"умисних убивств (та замахів), ст.ст.115-118",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),41.0
2018,"умисних убивств (та замахів), ст.ст.115-118",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),46.0
2019,"умисних убивств (та замахів), ст.ст.115-118",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),39.0
2020,"умисних убивств (та замахів), ст.ст.115-118",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),45.0
2021,"умисних убивств (та замахів), ст.ст.115-118",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),32.0
2022,"умисних убивств (та замахів), ст.ст.115-118",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),25.0
2023,"умисних убивств (та замахів), ст.ст.115-118",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),20.0
2015,"згвалтувань (та замахів), ст.152",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.72
2016,"згвалтувань (та замахів), ст.152",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.77
2017,"згвалтувань (та замахів), ст.152",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.55
2018,"згвалтувань (та замахів), ст.152",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.47
2019,"згвалтувань (та замахів), ст.152",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.81
2020,"згвалтувань (та замахів), ст.152",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.93
2021,"згвалтувань (та замахів), ст.152",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.95
2022,"згвалтувань (та замахів), ст.152",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.57
2023,"згвалтувань (та замахів), ст.152",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),1.08
2015,"згвалтувань (та замахів), ст.152",всі,Потерпіло від  кримінальних правопорушень (усього),306.0
2016,"згвалтувань (та замахів), ст.152",всі,Потерпіло від  кримінальних правопорушень (усього),328.0
2017,"згвалтувань (та замахів), ст.152",всі,Потерпіло від  кримінальних правопорушень (усього),233.0
2018,"згвалтувань (та замахів), ст.152",всі,Потерпіло від  кримінальних правопорушень (усього),197.0
2019,"згвалтувань (та замахів), ст.152",всі,Потерпіло від  кримінальних правопорушень (усього),341.0
2020,"згвалтувань (та замахів), ст.152",всі,Потерпіло від  кримінальних правопорушень (усього),388.0
2021,"згвалтувань (та замахів), ст.152",всі,Потерпіло від  кримінальних правопорушень (усього),391.0
2022,"згвалтувань (та замахів), ст.152",всі,Потерпіло від  кримінальних правопорушень (усього),236.0
2023,"згвалтувань (та замахів), ст.152",всі,Потерпіло від  кримінальних правопорушень (усього),443.0
2015,"згвалтувань (та замахів), ст.152",жінки,Потерпіло від  кримінальних правопорушень (усього),278.0
2016,"згвалтувань (та замахів), ст.152",жінки,Потерпіло від  кримінальних правопорушень (усього),298.0
2017,"згвалтувань (та замахів), ст.152",жінки,Потерпіло від  кримінальних правопорушень (усього),208.0
2018,"згвалтувань (та замахів), ст.152",жінки,Потерпіло від  кримінальних правопорушень (усього),170.0
2019,"згвалтувань (та замахів), ст.152",жінки,Потерпіло від  кримінальних правопорушень (усього),276.0
2020,"згвалтувань (та замахів), ст.152",жінки,Потерпіло від  кримінальних правопорушень (усього),263.0
2021,"згвалтувань (та замахів), ст.152",жінки,Потерпіло від  кримінальних правопорушень (усього),234.0
2022,"згвалтувань (та замахів), ст.152",жінки,Потерпіло від  кримінальних правопорушень (усього),120.0
2023,"згвалтувань (та замахів), ст.152",жінки,Потерпіло від  кримінальних правопорушень (усього),335.0
2015,"згвалтувань (та замахів), ст.152",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),57.0
2016,"згвалтувань (та замахів), ст.152",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),55.0
2017,"згвалтувань (та замахів), ст.152",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),50.0
2018,"згвалтувань (та замахів), ст.152",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),39.0
2019,"згвалтувань (та замахів), ст.152",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),56.0
2020,"згвалтувань (та замахів), ст.152",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),82.0
2021,"згвалтувань (та замахів), ст.152",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),136.0
2022,"згвалтувань (та замахів), ст.152",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),61.0
2023,"згвалтувань (та замахів), ст.152",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),207.0
2015,"згвалтувань (та замахів), ст.152",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),27.0
2016,"згвалтувань (та замахів), ст.152",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),32.0
2017,"згвалтувань (та замахів), ст.152",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),39.0
2018,"згвалтувань (та замахів), ст.152",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),28.0
2019,"згвалтувань (та замахів), ст.152",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),92.0
2020,"згвалтувань (та замахів), ст.152",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),151.0
2021,"згвалтувань (та замахів), ст.152",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),148.0
2022,"згвалтувань (та замахів), ст.152",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),97.0
2023,"згвалтувань (та замахів), ст.152",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),172.0
2015,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),5.58
2016,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),5.1
2017,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),4.7
2018,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),4.86
2019,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),4.48
2020,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),3.88
2021,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),3.67
2022,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),3.51
2023,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),3.28
2015,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від  кримінальних правопорушень (усього),2385.0
2016,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від  кримінальних правопорушень (усього),2170.0
2017,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від  кримінальних правопорушень (усього),1991.0
2018,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від  кримінальних правопорушень (усього),2047.0
2019,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від  кримінальних правопорушень (усього),1878.0
2020,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від  кримінальних правопорушень (усього),1614.0
2021,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від  кримінальних правопорушень (усього),1512.0
2022,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від  кримінальних правопорушень (усього),1443.0
2023,"умисних тяжких тілесних ушкоджень, ст.121",всі,Потерпіло від  кримінальних правопорушень (усього),1352.0
2015,"умисних тяжких тілесних ушкоджень, ст.121",жінки,Потерпіло від  кримінальних правопорушень (усього),425.0
2016,"умисних тяжких тілесних ушкоджень, ст.121",жінки,Потерпіло від  кримінальних правопорушень (усього),387.0
2017,"умисних тяжких тілесних ушкоджень, ст.121",жінки,Потерпіло від  кримінальних правопорушень (усього),340.0
2018,"умисних тяжких тілесних ушкоджень, ст.121",жінки,Потерпіло від  кримінальних правопорушень (усього),362.0
2019,"умисних тяжких тілесних ушкоджень, ст.121",жінки,Потерпіло від  кримінальних правопорушень (усього),319.0
2020,"умисних тяжких тілесних ушкоджень, ст.121",жінки,Потерпіло від  кримінальних правопорушень (усього),234.0
2021,"умисних тяжких тілесних ушкоджень, ст.121",жінки,Потерпіло від  кримінальних правопорушень (усього),232.0
2022,"умисних тяжких тілесних ушкоджень, ст.121",жінки,Потерпіло від  кримінальних правопорушень (усього),199.0
2023,"умисних тяжких тілесних ушкоджень, ст.121",жінки,Потерпіло від  кримінальних правопорушень (усього),222.0
2015,"умисних тяжких тілесних ушкоджень, ст.121",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),30.0
2016,"умисних тяжких тілесних ушкоджень, ст.121",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),28.0
2017,"умисних тяжких тілесних ушкоджень, ст.121",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),23.0
2018,"умисних тяжких тілесних ушкоджень, ст.121",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),34.0
2019,"умисних тяжких тілесних ушкоджень, ст.121",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),16.0
2020,"умисних тяжких тілесних ушкоджень, ст.121",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),17.0
2021,"умисних тяжких тілесних ушкоджень, ст.121",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),21.0
2022,"умисних тяжких тілесних ушкоджень, ст.121",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),16.0
2023,"умисних тяжких тілесних ушкоджень, ст.121",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),21.0
2015,"умисних тяжких тілесних ушкоджень, ст.121",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),11.0
2016,"умисних тяжких тілесних ушкоджень, ст.121",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),18.0
2017,"умисних тяжких тілесних ушкоджень, ст.121",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),9.0
2018,"умисних тяжких тілесних ушкоджень, ст.121",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),6.0
2019,"умисних тяжких тілесних ушкоджень, ст.121",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),13.0
2020,"умисних тяжких тілесних ушкоджень, ст.121",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),9.0
2021,"умисних тяжких тілесних ушкоджень, ст.121",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),4.0
2022,"умисних тяжких тілесних ушкоджень, ст.121",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),6.0
2023,"умисних тяжких тілесних ушкоджень, ст.121",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),3.0
2015,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.26
2016,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.2
2017,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.73
2018,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.55
2019,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.63
2020,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.37
2021,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.39
2022,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.16
2023,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),0.22
2015,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від  кримінальних правопорушень (усього),113.0
2016,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від  кримінальних правопорушень (усього),86.0
2017,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від  кримінальних правопорушень (усього),309.0
2018,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від  кримінальних правопорушень (усього),231.0
2019,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від  кримінальних правопорушень (усього),262.0
2020,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від  кримінальних правопорушень (усього),152.0
2021,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від  кримінальних правопорушень (усього),163.0
2022,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від  кримінальних правопорушень (усього),66.0
2023,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",всі,Потерпіло від  кримінальних правопорушень (усього),91.0
2015,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",жінки,Потерпіло від  кримінальних правопорушень (усього),78.0
2016,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",жінки,Потерпіло від  кримінальних правопорушень (усього),66.0
2017,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",жінки,Потерпіло від  кримінальних правопорушень (усього),130.0
2018,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",жінки,Потерпіло від  кримінальних правопорушень (усього),127.0
2019,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",жінки,Потерпіло від  кримінальних правопорушень (усього),107.0
2020,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",жінки,Потерпіло від  кримінальних правопорушень (усього),64.0
2021,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",жінки,Потерпіло від  кримінальних правопорушень (усього),49.0
2022,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",жінки,Потерпіло від  кримінальних правопорушень (усього),36.0
2023,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",жінки,Потерпіло від  кримінальних правопорушень (усього),30.0
2015,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),6.0
2016,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),2.0
2017,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),8.0
2018,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),11.0
2019,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),8.0
2020,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),
2021,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),9.0
2022,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),5.0
2023,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),6.0
2015,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),1.0
2016,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2.0
2017,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),11.0
2018,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),12.0
2019,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),2.0
2020,"торгівлі людьми або інших незаконних угод щодо передачі людини, ст.149",малолітні (до 14 років),Потерпіло від  кримінальних правопорушень (усього),1.0
