Year,Інфекційні захворювання,Вік,Value
2023,"Дифтерія, правець",6 років,70.9
2015,"Дифтерія, правець",16 років,1.9
2016,"Дифтерія, правець",16 років,56.1
2017,"Дифтерія, правець",16 років,76.7
2018,"Дифтерія, правець",16 років,77.9
2019,"Дифтерія, правець",16 років,91.5
2020,"Дифтерія, правець",16 років,73.6
2021,"Дифтерія, правець",16 років,79.6
2022,"Дифтерія, правець",16 років,68.8
2023,"Дифтерія, правець",16 років,78.3
2015,"Дифтерія, правець",дорослі,0.1
2016,"Дифтерія, правець",дорослі,20.7
2017,"Дифтерія, правець",дорослі,44.8
2018,"Дифтерія, правець",дорослі,55.6
2019,"Дифтерія, правець",дорослі,83.4
2020,"Дифтерія, правець",дорослі,47.0
2021,"Дифтерія, правець",дорослі,45.4
2022,"Дифтерія, правець",дорослі,40.2
2023,"Дифтерія, правець",дорослі,52.0
2015,Кашлюк,до 1 року,26.5
2016,Кашлюк,до 1 року,21.0
2017,Кашлюк,до 1 року,53.2
2018,Кашлюк,до 1 року,69.3
2019,Кашлюк,до 1 року,80.5
2020,Кашлюк,до 1 року,80.1
2021,Кашлюк,до 1 року,80.0
2022,Кашлюк,до 1 року,72.9
2023,Кашлюк,до 1 року,83.4
2015,Кашлюк,18 місяців,33.1
2016,Кашлюк,18 місяців,23.1
2017,Кашлюк,18 місяців,51.2
2018,Кашлюк,18 місяців,66.1
2019,Кашлюк,18 місяців,80.5
2020,Кашлюк,18 місяців,78.1
2021,Кашлюк,18 місяців,77.8
2022,Кашлюк,18 місяців,71.9
2023,Кашлюк,18 місяців,82.7
2015,Поліомієліт,до 1 року,63.8
2016,Поліомієліт,до 1 року,60.8
2017,Поліомієліт,до 1 року,51.9
2018,Поліомієліт,до 1 року,71.1
2019,Поліомієліт,до 1 року,78.4
2020,Поліомієліт,до 1 року,83.0
2021,Поліомієліт,до 1 року,80.1
2022,Поліомієліт,до 1 року,68.9
2023,Поліомієліт,до 1 року,84.9
2015,Поліомієліт,18 місяців,86.5
2016,Поліомієліт,18 місяців,66.4
2017,Поліомієліт,18 місяців,71.4
2018,Поліомієліт,18 місяців,67.8
2019,Поліомієліт,18 місяців,78.7
2020,Поліомієліт,18 місяців,83.0
2021,Поліомієліт,18 місяців,80.5
2022,Поліомієліт,18 місяців,66.7
2023,Поліомієліт,18 місяців,85.5
2015,Поліомієліт,6 років,49.2
2016,Поліомієліт,6 років,85.7
2017,Поліомієліт,6 років,88.2
2018,Поліомієліт,6 років,81.3
2019,Поліомієліт,6 років,80.3
2020,Поліомієліт,6 років,81.7
2021,Поліомієліт,6 років,78.4
2022,Поліомієліт,6 років,63.4
2023,Поліомієліт,6 років,82.3
2015,Поліомієліт,14 років,50.6
2016,Поліомієліт,14 років,79.9
2017,Поліомієліт,14 років,88.1
2018,Поліомієліт,14 років,80.2
2019,Поліомієліт,14 років,80.9
2020,Поліомієліт,14 років,81.8
2021,Поліомієліт,14 років,76.1
2022,Поліомієліт,14 років,58.9
2023,Поліомієліт,14 років,78.9
2015,Хіб-інфекція,до 1 року,43.2
2016,Хіб-інфекція,до 1 року,36.0
2017,Хіб-інфекція,до 1 року,34.8
2018,Хіб-інфекція,до 1 року,52.5
2019,Хіб-інфекція,до 1 року,76.5
2020,Хіб-інфекція,до 1 року,85.1
2021,Хіб-інфекція,до 1 року,90.9
2022,Хіб-інфекція,до 1 року,74.0
2023,Хіб-інфекція,до 1 року,86.4
2015,Хіб-інфекція,1 рік,38.6
2016,Хіб-інфекція,1 рік,51.6
2017,Хіб-інфекція,1 рік,44.5
2018,Хіб-інфекція,1 рік,57.7
2019,Хіб-інфекція,1 рік,80.0
2020,Хіб-інфекція,1 рік,83.6
2021,Хіб-інфекція,1 рік,87.0
2022,Хіб-інфекція,1 рік,69.8
2023,Хіб-інфекція,1 рік,78.2
