Year,Рівень освіти,Стать,Вік,Value
2023,Базова вища,чоловіки,25-64 роки,
2015,Неповна вища,,15-24 роки,10.1
2016,Неповна вища,,15-24 роки,10.3
2017,Неповна вища,,15-24 роки,10.0
2018,Неповна вища,,15-24 роки,8.7
2019,Неповна вища,,15-24 роки,11.3
2020,Неповна вища,,15-24 роки,10.0
2021,Неповна вища,,15-24 роки,9.6
2022,Неповна вища,,15-24 роки,
2023,Неповна вища,,15-24 роки,
2015,Неповна вища,,25-64 роки,19.3
2016,Неповна вища,,25-64 роки,19.4
2017,Неповна вища,,25-64 роки,19.2
2018,Неповна вища,,25-64 роки,18.7
2019,Неповна вища,,25-64 роки,19.7
2020,Неповна вища,,25-64 роки,19.5
2021,Неповна вища,,25-64 роки,19.7
2022,Неповна вища,,25-64 роки,
2023,Неповна вища,,25-64 роки,
2015,Неповна вища,жінки,15-24 роки,11.2
2016,Неповна вища,жінки,15-24 роки,12.0
2017,Неповна вища,жінки,15-24 роки,11.0
2018,Неповна вища,жінки,15-24 роки,10.0
2019,Неповна вища,жінки,15-24 роки,13.4
2020,Неповна вища,жінки,15-24 роки,11.0
2021,Неповна вища,жінки,15-24 роки,9.8
2022,Неповна вища,жінки,15-24 роки,
2023,Неповна вища,жінки,15-24 роки,
2015,Неповна вища,жінки,25-64 роки,23.3
2016,Неповна вища,жінки,25-64 роки,23.1
2017,Неповна вища,жінки,25-64 роки,22.8
2018,Неповна вища,жінки,25-64 роки,22.5
2019,Неповна вища,жінки,25-64 роки,23.6
2020,Неповна вища,жінки,25-64 роки,23.2
2021,Неповна вища,жінки,25-64 роки,23.5
2022,Неповна вища,жінки,25-64 роки,
2023,Неповна вища,жінки,25-64 роки,
2015,Неповна вища,чоловіки,15-24 роки,9.1
2016,Неповна вища,чоловіки,15-24 роки,8.6
2017,Неповна вища,чоловіки,15-24 роки,9.0
2018,Неповна вища,чоловіки,15-24 роки,7.5
2019,Неповна вища,чоловіки,15-24 роки,9.2
2020,Неповна вища,чоловіки,15-24 роки,9.0
2021,Неповна вища,чоловіки,15-24 роки,9.3
2022,Неповна вища,чоловіки,15-24 роки,
2023,Неповна вища,чоловіки,15-24 роки,
2015,Неповна вища,чоловіки,25-64 роки,15.0
2016,Неповна вища,чоловіки,25-64 роки,15.2
2017,Неповна вища,чоловіки,25-64 роки,15.3
2018,Неповна вища,чоловіки,25-64 роки,14.5
2019,Неповна вища,чоловіки,25-64 роки,15.5
2020,Неповна вища,чоловіки,25-64 роки,15.4
2021,Неповна вища,чоловіки,25-64 роки,15.6
2022,Неповна вища,чоловіки,25-64 роки,
2023,Неповна вища,чоловіки,25-64 роки,
2015,Професійно-технічна,,15-24 роки,13.4
2016,Професійно-технічна,,15-24 роки,13.9
2017,Професійно-технічна,,15-24 роки,13.2
2018,Професійно-технічна,,15-24 роки,12.6
2019,Професійно-технічна,,15-24 роки,12.7
2020,Професійно-технічна,,15-24 роки,11.6
2021,Професійно-технічна,,15-24 роки,11.0
2022,Професійно-технічна,,15-24 роки,
2023,Професійно-технічна,,15-24 роки,
2015,Професійно-технічна,,25-64 роки,25.5
2016,Професійно-технічна,,25-64 роки,25.7
2017,Професійно-технічна,,25-64 роки,25.6
2018,Професійно-технічна,,25-64 роки,25.8
2019,Професійно-технічна,,25-64 роки,26.1
2020,Професійно-технічна,,25-64 роки,26.2
2021,Професійно-технічна,,25-64 роки,26.3
2022,Професійно-технічна,,25-64 роки,
2023,Професійно-технічна,,25-64 роки,
2015,Професійно-технічна,жінки,15-24 роки,9.3
2016,Професійно-технічна,жінки,15-24 роки,10.3
2017,Професійно-технічна,жінки,15-24 роки,10.5
2018,Професійно-технічна,жінки,15-24 роки,10.1
2019,Професійно-технічна,жінки,15-24 роки,9.7
2020,Професійно-технічна,жінки,15-24 роки,9.0
2021,Професійно-технічна,жінки,15-24 роки,9.1
2022,Професійно-технічна,жінки,15-24 роки,
2023,Професійно-технічна,жінки,15-24 роки,
2015,Професійно-технічна,жінки,25-64 роки,19.3
2016,Професійно-технічна,жінки,25-64 роки,19.4
2017,Професійно-технічна,жінки,25-64 роки,19.5
2018,Професійно-технічна,жінки,25-64 роки,19.6
2019,Професійно-технічна,жінки,25-64 роки,20.1
2020,Професійно-технічна,жінки,25-64 роки,20.1
2021,Професійно-технічна,жінки,25-64 роки,20.2
2022,Професійно-технічна,жінки,25-64 роки,
2023,Професійно-технічна,жінки,25-64 роки,
2015,Професійно-технічна,чоловіки,15-24 роки,17.2
2016,Професійно-технічна,чоловіки,15-24 роки,17.3
2017,Професійно-технічна,чоловіки,15-24 роки,15.7
2018,Професійно-технічна,чоловіки,15-24 роки,15.0
2019,Професійно-технічна,чоловіки,15-24 роки,15.4
2020,Професійно-технічна,чоловіки,15-24 роки,14.1
2021,Професійно-технічна,чоловіки,15-24 роки,12.8
2022,Професійно-технічна,чоловіки,15-24 роки,
2023,Професійно-технічна,чоловіки,15-24 роки,
2015,Професійно-технічна,чоловіки,25-64 роки,32.5
2016,Професійно-технічна,чоловіки,25-64 роки,32.6
2017,Професійно-технічна,чоловіки,25-64 роки,32.3
2018,Професійно-технічна,чоловіки,25-64 роки,32.6
2019,Професійно-технічна,чоловіки,25-64 роки,32.7
2020,Професійно-технічна,чоловіки,25-64 роки,32.8
2021,Професійно-технічна,чоловіки,25-64 роки,33.0
2022,Професійно-технічна,чоловіки,25-64 роки,
2023,Професійно-технічна,чоловіки,25-64 роки,
2015,Повна загальна середня,,15-24 роки,38.0
2016,Повна загальна середня,,15-24 роки,37.8
2017,Повна загальна середня,,15-24 роки,37.8
2018,Повна загальна середня,,15-24 роки,38.8
2019,Повна загальна середня,,15-24 роки,34.8
2020,Повна загальна середня,,15-24 роки,36.2
2021,Повна загальна середня,,15-24 роки,37.1
2022,Повна загальна середня,,15-24 роки,
2023,Повна загальна середня,,15-24 роки,
2015,Повна загальна середня,,25-64 роки,22.4
2016,Повна загальна середня,,25-64 роки,21.8
2017,Повна загальна середня,,25-64 роки,21.7
2018,Повна загальна середня,,25-64 роки,21.0
2019,Повна загальна середня,,25-64 роки,20.0
2020,Повна загальна середня,,25-64 роки,19.9
2021,Повна загальна середня,,25-64 роки,19.4
2022,Повна загальна середня,,25-64 роки,
2023,Повна загальна середня,,25-64 роки,
2015,Повна загальна середня,жінки,15-24 роки,38.3
2016,Повна загальна середня,жінки,15-24 роки,37.9
2017,Повна загальна середня,жінки,15-24 роки,38.7
2018,Повна загальна середня,жінки,15-24 роки,39.9
2019,Повна загальна середня,жінки,15-24 роки,34.2
2020,Повна загальна середня,жінки,15-24 роки,36.6
2021,Повна загальна середня,жінки,15-24 роки,37.3
2022,Повна загальна середня,жінки,15-24 роки,
2023,Повна загальна середня,жінки,15-24 роки,
2015,Повна загальна середня,жінки,25-64 роки,22.7
2016,Повна загальна середня,жінки,25-64 роки,22.3
2017,Повна загальна середня,жінки,25-64 роки,22.0
2018,Повна загальна середня,жінки,25-64 роки,21.2
2019,Повна загальна середня,жінки,25-64 роки,20.0
2020,Повна загальна середня,жінки,25-64 роки,20.0
2021,Повна загальна середня,жінки,25-64 роки,19.6
2022,Повна загальна середня,жінки,25-64 роки,
2023,Повна загальна середня,жінки,25-64 роки,
2015,Повна загальна середня,чоловіки,15-24 роки,37.8
2016,Повна загальна середня,чоловіки,15-24 роки,37.7
2017,Повна загальна середня,чоловіки,15-24 роки,36.9
2018,Повна загальна середня,чоловіки,15-24 роки,37.8
2019,Повна загальна середня,чоловіки,15-24 роки,35.5
2020,Повна загальна середня,чоловіки,15-24 роки,35.8
2021,Повна загальна середня,чоловіки,15-24 роки,37.0
2022,Повна загальна середня,чоловіки,15-24 роки,
2023,Повна загальна середня,чоловіки,15-24 роки,
2015,Повна загальна середня,чоловіки,25-64 роки,22.0
2016,Повна загальна середня,чоловіки,25-64 роки,21.3
2017,Повна загальна середня,чоловіки,25-64 роки,21.3
2018,Повна загальна середня,чоловіки,25-64 роки,20.9
2019,Повна загальна середня,чоловіки,25-64 роки,20.0
2020,Повна загальна середня,чоловіки,25-64 роки,19.8
2021,Повна загальна середня,чоловіки,25-64 роки,19.2
2022,Повна загальна середня,чоловіки,25-64 роки,
2023,Повна загальна середня,чоловіки,25-64 роки,
2015,"Базова, початкова загальна або не мають освіти",,15-24 роки,23.2
2016,"Базова, початкова загальна або не мають освіти",,15-24 роки,23.3
2017,"Базова, початкова загальна або не мають освіти",,15-24 роки,24.4
2018,"Базова, початкова загальна або не мають освіти",,15-24 роки,25.8
2019,"Базова, початкова загальна або не мають освіти",,15-24 роки,26.0
2020,"Базова, початкова загальна або не мають освіти",,15-24 роки,29.4
2021,"Базова, початкова загальна або не мають освіти",,15-24 роки,29.8
2022,"Базова, початкова загальна або не мають освіти",,15-24 роки,
2023,"Базова, початкова загальна або не мають освіти",,15-24 роки,
2015,"Базова, початкова загальна або не мають освіти",,25-64 роки,3.2
2016,"Базова, початкова загальна або не мають освіти",,25-64 роки,3.0
2017,"Базова, початкова загальна або не мають освіти",,25-64 роки,2.8
2018,"Базова, початкова загальна або не мають освіти",,25-64 роки,2.7
2019,"Базова, початкова загальна або не мають освіти",,25-64 роки,3.2
2020,"Базова, початкова загальна або не мають освіти",,25-64 роки,3.1
2021,"Базова, початкова загальна або не мають освіти",,25-64 роки,2.9
2022,"Базова, початкова загальна або не мають освіти",,25-64 роки,
2023,"Базова, початкова загальна або не мають освіти",,25-64 роки,
2015,"Базова, початкова загальна або не мають освіти",жінки,15-24 роки,23.4
2016,"Базова, початкова загальна або не мають освіти",жінки,15-24 роки,23.0
2017,"Базова, початкова загальна або не мають освіти",жінки,15-24 роки,23.7
2018,"Базова, початкова загальна або не мають освіти",жінки,15-24 роки,24.2
2019,"Базова, початкова загальна або не мають освіти",жінки,15-24 роки,25.8
2020,"Базова, початкова загальна або не мають освіти",жінки,15-24 роки,28.7
2021,"Базова, початкова загальна або не мають освіти",жінки,15-24 роки,29.3
2022,"Базова, початкова загальна або не мають освіти",жінки,15-24 роки,
2023,"Базова, початкова загальна або не мають освіти",жінки,15-24 роки,
2015,"Базова, початкова загальна або не мають освіти",жінки,25-64 роки,2.9
2016,"Базова, початкова загальна або не мають освіти",жінки,25-64 роки,2.9
2017,"Базова, початкова загальна або не мають освіти",жінки,25-64 роки,2.8
2018,"Базова, початкова загальна або не мають освіти",жінки,25-64 роки,2.5
2019,"Базова, початкова загальна або не мають освіти",жінки,25-64 роки,2.8
2020,"Базова, початкова загальна або не мають освіти",жінки,25-64 роки,2.8
2021,"Базова, початкова загальна або не мають освіти",жінки,25-64 роки,2.7
2022,"Базова, початкова загальна або не мають освіти",жінки,25-64 роки,
2023,"Базова, початкова загальна або не мають освіти",жінки,25-64 роки,
2015,"Базова, початкова загальна або не мають освіти",чоловіки,15-24 роки,23.1
2016,"Базова, початкова загальна або не мають освіти",чоловіки,15-24 роки,23.7
2017,"Базова, початкова загальна або не мають освіти",чоловіки,15-24 роки,25.2
2018,"Базова, початкова загальна або не мають освіти",чоловіки,15-24 роки,27.3
2019,"Базова, початкова загальна або не мають освіти",чоловіки,15-24 роки,26.2
2020,"Базова, початкова загальна або не мають освіти",чоловіки,15-24 роки,30.0
2021,"Базова, початкова загальна або не мають освіти",чоловіки,15-24 роки,30.4
2022,"Базова, початкова загальна або не мають освіти",чоловіки,15-24 роки,
2023,"Базова, початкова загальна або не мають освіти",чоловіки,15-24 роки,
2015,"Базова, початкова загальна або не мають освіти",чоловіки,25-64 роки,3.4
2016,"Базова, початкова загальна або не мають освіти",чоловіки,25-64 роки,3.1
2017,"Базова, початкова загальна або не мають освіти",чоловіки,25-64 роки,2.8
2018,"Базова, початкова загальна або не мають освіти",чоловіки,25-64 роки,2.9
2019,"Базова, початкова загальна або не мають освіти",чоловіки,25-64 роки,3.6
2020,"Базова, початкова загальна або не мають освіти",чоловіки,25-64 роки,3.5
2021,"Базова, початкова загальна або не мають освіти",чоловіки,25-64 роки,3.3
2022,"Базова, початкова загальна або не мають освіти",чоловіки,25-64 роки,
2023,"Базова, початкова загальна або не мають освіти",чоловіки,25-64 роки,
