Year,Компоненти індексу,Область,Вік,Стать,Value
2019,Соціальна згуртованість і почуття співпричетності,Луганська,61 рік і старші,,
2020,Соціальна згуртованість і почуття співпричетності,Луганська,61 рік і старші,,
2021,Соціальна згуртованість і почуття співпричетності,Луганська,60 років і старші,,
2022,Соціальна згуртованість і почуття співпричетності,Луганська,60 років і старші,,
2023,Соціальна згуртованість і почуття співпричетності,Луганська,60 років і старші,,
2017,Соціальна згуртованість і почуття співпричетності,Луганська,,чоловіки,6.7
2018,Соціальна згуртованість і почуття співпричетності,Луганська,,чоловіки,
2019,Соціальна згуртованість і почуття співпричетності,Луганська,,чоловіки,
2020,Соціальна згуртованість і почуття співпричетності,Луганська,,чоловіки,
2021,Соціальна згуртованість і почуття співпричетності,Луганська,,чоловіки,
2022,Соціальна згуртованість і почуття співпричетності,Луганська,,чоловіки,
2023,Соціальна згуртованість і почуття співпричетності,Луганська,,чоловіки,
2017,Соціальна згуртованість і почуття співпричетності,Луганська,,жінки,6.7
2018,Соціальна згуртованість і почуття співпричетності,Луганська,,жінки,
2019,Соціальна згуртованість і почуття співпричетності,Луганська,,жінки,
2020,Соціальна згуртованість і почуття співпричетності,Луганська,,жінки,
2021,Соціальна згуртованість і почуття співпричетності,Луганська,,жінки,
2022,Соціальна згуртованість і почуття співпричетності,Луганська,,жінки,
2023,Соціальна згуртованість і почуття співпричетності,Луганська,,жінки,
2017,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,,
2018,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,,
2019,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,,
2020,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,,
2021,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,,
2022,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,,
2023,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,,
2017,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,18 – 35 років,,6.4
2018,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,18 – 35 років,,
2019,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,18 – 35 років,,
2020,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,18 – 35 років,,
2021,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,18 – 35 років,,
2022,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,18 – 35 років,,
2023,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,18 – 35 років,,
2017,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,36 – 60 років,,6.6
2018,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,36 – 60 років,,
2019,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,36 – 60 років,,
2020,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,36 – 60 років,,
2021,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,36 - 59 років,,
2022,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,36 - 59 років,,
2023,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,36 - 59 років,,
2017,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,61 рік і старші,,7.0
2018,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,61 рік і старші,,
2019,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,61 рік і старші,,
2020,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,61 рік і старші,,
2021,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,60 років і старші,,
2022,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,60 років і старші,,
2023,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,60 років і старші,,
2017,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,чоловіки,6.6
2018,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,чоловіки,
2019,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,чоловіки,
2020,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,чоловіки,
2021,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,чоловіки,
2022,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,чоловіки,
2023,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,чоловіки,
2017,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,жінки,6.6
2018,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,жінки,
2019,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,жінки,
2020,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,жінки,
2021,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,жінки,
2022,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,жінки,
2023,Соціальна згуртованість і почуття співпричетності,Дніпропетровська,,жінки,
2017,Соціальна згуртованість і почуття співпричетності,Запорізька,,,
2018,Соціальна згуртованість і почуття співпричетності,Запорізька,,,
2019,Соціальна згуртованість і почуття співпричетності,Запорізька,,,
2020,Соціальна згуртованість і почуття співпричетності,Запорізька,,,
2021,Соціальна згуртованість і почуття співпричетності,Запорізька,,,
2022,Соціальна згуртованість і почуття співпричетності,Запорізька,,,
2023,Соціальна згуртованість і почуття співпричетності,Запорізька,,,
2017,Соціальна згуртованість і почуття співпричетності,Запорізька,18 – 35 років,,6.3
2018,Соціальна згуртованість і почуття співпричетності,Запорізька,18 – 35 років,,
2019,Соціальна згуртованість і почуття співпричетності,Запорізька,18 – 35 років,,
2020,Соціальна згуртованість і почуття співпричетності,Запорізька,18 – 35 років,,
2021,Соціальна згуртованість і почуття співпричетності,Запорізька,18 – 35 років,,
2022,Соціальна згуртованість і почуття співпричетності,Запорізька,18 – 35 років,,
2023,Соціальна згуртованість і почуття співпричетності,Запорізька,18 – 35 років,,
2017,Соціальна згуртованість і почуття співпричетності,Запорізька,36 – 60 років,,6.5
2018,Соціальна згуртованість і почуття співпричетності,Запорізька,36 – 60 років,,
2019,Соціальна згуртованість і почуття співпричетності,Запорізька,36 – 60 років,,
2020,Соціальна згуртованість і почуття співпричетності,Запорізька,36 – 60 років,,
2021,Соціальна згуртованість і почуття співпричетності,Запорізька,36 - 59 років,,
2022,Соціальна згуртованість і почуття співпричетності,Запорізька,36 - 59 років,,
2023,Соціальна згуртованість і почуття співпричетності,Запорізька,36 - 59 років,,
2017,Соціальна згуртованість і почуття співпричетності,Запорізька,61 рік і старші,,6.8
2018,Соціальна згуртованість і почуття співпричетності,Запорізька,61 рік і старші,,
2019,Соціальна згуртованість і почуття співпричетності,Запорізька,61 рік і старші,,
2020,Соціальна згуртованість і почуття співпричетності,Запорізька,61 рік і старші,,
2021,Соціальна згуртованість і почуття співпричетності,Запорізька,60 років і старші,,
2022,Соціальна згуртованість і почуття співпричетності,Запорізька,60 років і старші,,
2023,Соціальна згуртованість і почуття співпричетності,Запорізька,60 років і старші,,
2017,Соціальна згуртованість і почуття співпричетності,Запорізька,,чоловіки,6.4
2018,Соціальна згуртованість і почуття співпричетності,Запорізька,,чоловіки,
2019,Соціальна згуртованість і почуття співпричетності,Запорізька,,чоловіки,
2020,Соціальна згуртованість і почуття співпричетності,Запорізька,,чоловіки,
2021,Соціальна згуртованість і почуття співпричетності,Запорізька,,чоловіки,
2022,Соціальна згуртованість і почуття співпричетності,Запорізька,,чоловіки,
2023,Соціальна згуртованість і почуття співпричетності,Запорізька,,чоловіки,
2017,Соціальна згуртованість і почуття співпричетності,Запорізька,,жінки,6.6
2018,Соціальна згуртованість і почуття співпричетності,Запорізька,,жінки,
2019,Соціальна згуртованість і почуття співпричетності,Запорізька,,жінки,
2020,Соціальна згуртованість і почуття співпричетності,Запорізька,,жінки,
2021,Соціальна згуртованість і почуття співпричетності,Запорізька,,жінки,
2022,Соціальна згуртованість і почуття співпричетності,Запорізька,,жінки,
2023,Соціальна згуртованість і почуття співпричетності,Запорізька,,жінки,
2017,Соціальна згуртованість і почуття співпричетності,Харківська,,,
2018,Соціальна згуртованість і почуття співпричетності,Харківська,,,
2019,Соціальна згуртованість і почуття співпричетності,Харківська,,,
2020,Соціальна згуртованість і почуття співпричетності,Харківська,,,
2021,Соціальна згуртованість і почуття співпричетності,Харківська,,,
2022,Соціальна згуртованість і почуття співпричетності,Харківська,,,
2023,Соціальна згуртованість і почуття співпричетності,Харківська,,,
2017,Соціальна згуртованість і почуття співпричетності,Харківська,18 – 35 років,,6.4
2018,Соціальна згуртованість і почуття співпричетності,Харківська,18 – 35 років,,
2019,Соціальна згуртованість і почуття співпричетності,Харківська,18 – 35 років,,
2020,Соціальна згуртованість і почуття співпричетності,Харківська,18 – 35 років,,
2021,Соціальна згуртованість і почуття співпричетності,Харківська,18 – 35 років,,
2022,Соціальна згуртованість і почуття співпричетності,Харківська,18 – 35 років,,
2023,Соціальна згуртованість і почуття співпричетності,Харківська,18 – 35 років,,
2017,Соціальна згуртованість і почуття співпричетності,Харківська,36 – 60 років,,6.6
2018,Соціальна згуртованість і почуття співпричетності,Харківська,36 – 60 років,,
2019,Соціальна згуртованість і почуття співпричетності,Харківська,36 – 60 років,,
2020,Соціальна згуртованість і почуття співпричетності,Харківська,36 – 60 років,,
2021,Соціальна згуртованість і почуття співпричетності,Харківська,36 - 59 років,,
2022,Соціальна згуртованість і почуття співпричетності,Харківська,36 - 59 років,,
2023,Соціальна згуртованість і почуття співпричетності,Харківська,36 - 59 років,,
2017,Соціальна згуртованість і почуття співпричетності,Харківська,61 рік і старші,,6.7
2018,Соціальна згуртованість і почуття співпричетності,Харківська,61 рік і старші,,
2019,Соціальна згуртованість і почуття співпричетності,Харківська,61 рік і старші,,
2020,Соціальна згуртованість і почуття співпричетності,Харківська,61 рік і старші,,
2021,Соціальна згуртованість і почуття співпричетності,Харківська,60 років і старші,,
2022,Соціальна згуртованість і почуття співпричетності,Харківська,60 років і старші,,
2023,Соціальна згуртованість і почуття співпричетності,Харківська,60 років і старші,,
2017,Соціальна згуртованість і почуття співпричетності,Харківська,,чоловіки,6.5
2018,Соціальна згуртованість і почуття співпричетності,Харківська,,чоловіки,
2019,Соціальна згуртованість і почуття співпричетності,Харківська,,чоловіки,
2020,Соціальна згуртованість і почуття співпричетності,Харківська,,чоловіки,
2021,Соціальна згуртованість і почуття співпричетності,Харківська,,чоловіки,
2022,Соціальна згуртованість і почуття співпричетності,Харківська,,чоловіки,
2023,Соціальна згуртованість і почуття співпричетності,Харківська,,чоловіки,
2017,Соціальна згуртованість і почуття співпричетності,Харківська,,жінки,6.7
2018,Соціальна згуртованість і почуття співпричетності,Харківська,,жінки,
2019,Соціальна згуртованість і почуття співпричетності,Харківська,,жінки,
2020,Соціальна згуртованість і почуття співпричетності,Харківська,,жінки,
2021,Соціальна згуртованість і почуття співпричетності,Харківська,,жінки,
2022,Соціальна згуртованість і почуття співпричетності,Харківська,,жінки,
2023,Соціальна згуртованість і почуття співпричетності,Харківська,,жінки,
2017,Толерантність та соціально відповідальна громадянська позиція,Донецька,,,
2018,Толерантність та соціально відповідальна громадянська позиція,Донецька,,,
2019,Толерантність та соціально відповідальна громадянська позиція,Донецька,,,
2020,Толерантність та соціально відповідальна громадянська позиція,Донецька,,,
2021,Толерантність та соціально відповідальна громадянська позиція,Донецька,,,
2022,Толерантність та соціально відповідальна громадянська позиція,Донецька,,,
2023,Толерантність та соціально відповідальна громадянська позиція,Донецька,,,
2017,Толерантність та соціально відповідальна громадянська позиція,Донецька,18 – 35 років,,
2018,Толерантність та соціально відповідальна громадянська позиція,Донецька,18 – 35 років,,
2019,Толерантність та соціально відповідальна громадянська позиція,Донецька,18 – 35 років,,
2020,Толерантність та соціально відповідальна громадянська позиція,Донецька,18 – 35 років,,
2021,Толерантність та соціально відповідальна громадянська позиція,Донецька,18 – 35 років,,
2022,Толерантність та соціально відповідальна громадянська позиція,Донецька,18 – 35 років,,
2023,Толерантність та соціально відповідальна громадянська позиція,Донецька,18 – 35 років,,
2017,Толерантність та соціально відповідальна громадянська позиція,Донецька,36 – 60 років,,5.0
2018,Толерантність та соціально відповідальна громадянська позиція,Донецька,36 – 60 років,,
2019,Толерантність та соціально відповідальна громадянська позиція,Донецька,36 – 60 років,,
2020,Толерантність та соціально відповідальна громадянська позиція,Донецька,36 – 60 років,,
2021,Толерантність та соціально відповідальна громадянська позиція,Донецька,36 - 59 років,,
2022,Толерантність та соціально відповідальна громадянська позиція,Донецька,36 - 59 років,,
2023,Толерантність та соціально відповідальна громадянська позиція,Донецька,36 - 59 років,,
2017,Толерантність та соціально відповідальна громадянська позиція,Донецька,61 рік і старші,,4.8
2018,Толерантність та соціально відповідальна громадянська позиція,Донецька,61 рік і старші,,
2019,Толерантність та соціально відповідальна громадянська позиція,Донецька,61 рік і старші,,
2020,Толерантність та соціально відповідальна громадянська позиція,Донецька,61 рік і старші,,
2021,Толерантність та соціально відповідальна громадянська позиція,Донецька,60 років і старші,,
2022,Толерантність та соціально відповідальна громадянська позиція,Донецька,60 років і старші,,
2023,Толерантність та соціально відповідальна громадянська позиція,Донецька,60 років і старші,,
2017,Толерантність та соціально відповідальна громадянська позиція,Донецька,,чоловіки,4.9
2018,Толерантність та соціально відповідальна громадянська позиція,Донецька,,чоловіки,
2019,Толерантність та соціально відповідальна громадянська позиція,Донецька,,чоловіки,
2020,Толерантність та соціально відповідальна громадянська позиція,Донецька,,чоловіки,
2021,Толерантність та соціально відповідальна громадянська позиція,Донецька,,чоловіки,
2022,Толерантність та соціально відповідальна громадянська позиція,Донецька,,чоловіки,
2023,Толерантність та соціально відповідальна громадянська позиція,Донецька,,чоловіки,
2017,Толерантність та соціально відповідальна громадянська позиція,Донецька,,жінки,5.0
2018,Толерантність та соціально відповідальна громадянська позиція,Донецька,,жінки,
2019,Толерантність та соціально відповідальна громадянська позиція,Донецька,,жінки,
2020,Толерантність та соціально відповідальна громадянська позиція,Донецька,,жінки,
2021,Толерантність та соціально відповідальна громадянська позиція,Донецька,,жінки,
2022,Толерантність та соціально відповідальна громадянська позиція,Донецька,,жінки,
2023,Толерантність та соціально відповідальна громадянська позиція,Донецька,,жінки,
2017,Толерантність та соціально відповідальна громадянська позиція,Луганська,,,
2018,Толерантність та соціально відповідальна громадянська позиція,Луганська,,,
2019,Толерантність та соціально відповідальна громадянська позиція,Луганська,,,
2020,Толерантність та соціально відповідальна громадянська позиція,Луганська,,,
2021,Толерантність та соціально відповідальна громадянська позиція,Луганська,,,
2022,Толерантність та соціально відповідальна громадянська позиція,Луганська,,,
2023,Толерантність та соціально відповідальна громадянська позиція,Луганська,,,
2017,Толерантність та соціально відповідальна громадянська позиція,Луганська,18 – 35 років,,4.9
2018,Толерантність та соціально відповідальна громадянська позиція,Луганська,18 – 35 років,,
2019,Толерантність та соціально відповідальна громадянська позиція,Луганська,18 – 35 років,,
2020,Толерантність та соціально відповідальна громадянська позиція,Луганська,18 – 35 років,,
2021,Толерантність та соціально відповідальна громадянська позиція,Луганська,18 – 35 років,,
2022,Толерантність та соціально відповідальна громадянська позиція,Луганська,18 – 35 років,,
2023,Толерантність та соціально відповідальна громадянська позиція,Луганська,18 – 35 років,,
2017,Толерантність та соціально відповідальна громадянська позиція,Луганська,36 – 60 років,,4.9
2018,Толерантність та соціально відповідальна громадянська позиція,Луганська,36 – 60 років,,
2019,Толерантність та соціально відповідальна громадянська позиція,Луганська,36 – 60 років,,
2020,Толерантність та соціально відповідальна громадянська позиція,Луганська,36 – 60 років,,
2021,Толерантність та соціально відповідальна громадянська позиція,Луганська,36 - 59 років,,
2022,Толерантність та соціально відповідальна громадянська позиція,Луганська,36 - 59 років,,
2023,Толерантність та соціально відповідальна громадянська позиція,Луганська,36 - 59 років,,
2017,Толерантність та соціально відповідальна громадянська позиція,Луганська,61 рік і старші,,4.6
2018,Толерантність та соціально відповідальна громадянська позиція,Луганська,61 рік і старші,,
2019,Толерантність та соціально відповідальна громадянська позиція,Луганська,61 рік і старші,,
2020,Толерантність та соціально відповідальна громадянська позиція,Луганська,61 рік і старші,,
2021,Толерантність та соціально відповідальна громадянська позиція,Луганська,60 років і старші,,
2022,Толерантність та соціально відповідальна громадянська позиція,Луганська,60 років і старші,,
2023,Толерантність та соціально відповідальна громадянська позиція,Луганська,60 років і старші,,
2017,Толерантність та соціально відповідальна громадянська позиція,Луганська,,чоловіки,4.7
2018,Толерантність та соціально відповідальна громадянська позиція,Луганська,,чоловіки,
2019,Толерантність та соціально відповідальна громадянська позиція,Луганська,,чоловіки,
2020,Толерантність та соціально відповідальна громадянська позиція,Луганська,,чоловіки,
2021,Толерантність та соціально відповідальна громадянська позиція,Луганська,,чоловіки,
2022,Толерантність та соціально відповідальна громадянська позиція,Луганська,,чоловіки,
2023,Толерантність та соціально відповідальна громадянська позиція,Луганська,,чоловіки,
2017,Толерантність та соціально відповідальна громадянська позиція,Луганська,,жінки,4.9
2018,Толерантність та соціально відповідальна громадянська позиція,Луганська,,жінки,
2019,Толерантність та соціально відповідальна громадянська позиція,Луганська,,жінки,
2020,Толерантність та соціально відповідальна громадянська позиція,Луганська,,жінки,
2021,Толерантність та соціально відповідальна громадянська позиція,Луганська,,жінки,
2022,Толерантність та соціально відповідальна громадянська позиція,Луганська,,жінки,
2023,Толерантність та соціально відповідальна громадянська позиція,Луганська,,жінки,
2017,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,,,
2018,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,,,
2019,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,,,
2020,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,,,
2021,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,,,
2022,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,,,
2023,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,,,
2017,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,18 – 35 років,,4.8
2018,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,18 – 35 років,,
2019,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,18 – 35 років,,
2020,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,18 – 35 років,,
2021,Толерантність та соціально відповідальна громадянська позиція,Дніпропетровська,18 – 35 років,,
