Year,Region,Age,Value
2015,Ivano-Frankivsk,,30.1
2016,Ivano-Frankivsk,,26.8
2017,Ivano-Frankivsk,,20.9
2018,Ivano-Frankivsk,,19.4
2019,Ivano-Frankivsk,,17.9
2020,Ivano-Frankivsk,,15.0
2021,Ivano-Frankivsk,,12.7
2022,Ivano-Frankivsk,,
2023,Ivano-Frankivsk,,
2015,Kyiv,,28.5
2016,Kyiv,,27.7
2017,Kyiv,,23.2
2018,Kyiv,,20.4
2019,Kyiv,,18.1
2020,Kyiv,,14.5
2021,Kyiv,,12.8
2022,Kyiv,,
2023,Kyiv,,
2015,Kirovohrad,,41.5
2016,Kirovohrad,,34.1
2017,Kirovohrad,,29.5
2018,Kirovohrad,,26.7
2019,Kirovohrad,,24.9
2020,Kirovohrad,,23.5
2021,Kirovohrad,,20.2
2022,Kirovohrad,,
2023,Kirovohrad,,
2015,Luhansk,,
2016,Luhansk,,
2017,Luhansk,,
2018,Luhansk,,
2019,Luhansk,,
2020,Luhansk,,
2021,Luhansk,,
2022,Luhansk,,
2023,Luhansk,,
2015,Lviv,,18.7
2016,Lviv,,17.5
2017,Lviv,,15.2
2018,Lviv,,12.0
2019,Lviv,,11.4
2020,Lviv,,10.2
2021,Lviv,,9.2
2022,Lviv,,
2023,Lviv,,
2015,Mykolayiv,,35.8
2016,Mykolayiv,,32.8
2017,Mykolayiv,,30.7
2018,Mykolayiv,,26.7
2019,Mykolayiv,,20.6
2020,Mykolayiv,,20.2
2021,Mykolayiv,,17.7
2022,Mykolayiv,,
2023,Mykolayiv,,
2015,Odesa,,30.0
2016,Odesa,,30.2
2017,Odesa,,28.1
2018,Odesa,,24.7
2019,Odesa,,19.4
2020,Odesa,,19.1
2021,Odesa,,15.5
2022,Odesa,,
2023,Odesa,,
2015,Poltava,,26.0
2016,Poltava,,26.5
2017,Poltava,,21.6
2018,Poltava,,18.9
2019,Poltava,,15.3
2020,Poltava,,16.2
2021,Poltava,,13.0
2022,Poltava,,
2023,Poltava,,
2015,Rivne,,26.2
2016,Rivne,,25.9
2017,Rivne,,24.2
2018,Rivne,,19.4
2019,Rivne,,15.9
2020,Rivne,,15.6
2021,Rivne,,14.0
2022,Rivne,,
2023,Rivne,,
2015,Sumy,,25.0
2016,Sumy,,22.0
2017,Sumy,,19.5
2018,Sumy,,16.9
2019,Sumy,,14.9
2020,Sumy,,13.5
2021,Sumy,,12.4
2022,Sumy,,
2023,Sumy,,
2015,Ternopil,,25.1
2016,Ternopil,,23.7
2017,Ternopil,,19.1
2018,Ternopil,,16.8
2019,Ternopil,,13.9
2020,Ternopil,,12.5
2021,Ternopil,,12.0
2022,Ternopil,,
2023,Ternopil,,
2015,Kharkiv,,20.8
2016,Kharkiv,,19.6
2017,Kharkiv,,17.4
2018,Kharkiv,,14.0
2019,Kharkiv,,11.8
2020,Kharkiv,,10.6
2021,Kharkiv,,8.5
2022,Kharkiv,,
2023,Kharkiv,,
2015,Kherson,,34.4
2016,Kherson,,32.0
2017,Kherson,,29.6
2018,Kherson,,25.8
2019,Kherson,,21.3
2020,Kherson,,20.4
2021,Kherson,,17.0
2022,Kherson,,
2023,Kherson,,
2015,Khmelnytskiy,,34.1
2016,Khmelnytskiy,,28.9
2017,Khmelnytskiy,,24.8
2018,Khmelnytskiy,,22.3
2019,Khmelnytskiy,,20.4
2020,Khmelnytskiy,,18.6
2021,Khmelnytskiy,,16.2
2022,Khmelnytskiy,,
2023,Khmelnytskiy,,
2015,Cherkasy,,29.9
2016,Cherkasy,,27.9
2017,Cherkasy,,25.8
2018,Cherkasy,,20.9
2019,Cherkasy,,16.7
2020,Cherkasy,,16.0
2021,Cherkasy,,15.7
2022,Cherkasy,,
2023,Cherkasy,,
2015,Chernivtsi,,27.3
2016,Chernivtsi,,23.8
2017,Chernivtsi,,24.0
2018,Chernivtsi,,19.6
2019,Chernivtsi,,18.0
2020,Chernivtsi,,17.0
2021,Chernivtsi,,16.3
2022,Chernivtsi,,
2023,Chernivtsi,,
2015,Chernihiv,,25.6
2016,Chernihiv,,22.5
2017,Chernihiv,,19.1
2018,Chernihiv,,17.3
2019,Chernihiv,,15.0
2020,Chernihiv,,14.3
2021,Chernihiv,,12.4
2022,Chernihiv,,
2023,Chernihiv,,
2015,the city of Kyiv,,8.2
2016,the city of Kyiv,,7.6
2017,the city of Kyiv,,7.5
2018,the city of Kyiv,,6.5
2019,the city of Kyiv,,5.7
2020,the city of Kyiv,,5.4
2021,the city of Kyiv,,4.1
2022,the city of Kyiv,,
2023,the city of Kyiv,,
2015,,15 years,3.9
2016,,15 years,4.2
2017,,15 years,3.3
2018,,15 years,3.8
2019,,15 years,2.8
2020,,15 years,2.2
2021,,15 years,2.1
2022,,15 years,
2023,,15 years,
2015,,16 years,9.8
2016,,16 years,8.6
2017,,16 years,7.4
2018,,16 years,7.1
2019,,16 years,6.1
2020,,16 years,5.9
2021,,16 years,4.9
2022,,16 years,
2023,,16 years,
2015,,17 years,20.8
2016,,17 years,19.7
2017,,17 years,17.0
2018,,17 years,15.4
2019,,17 years,13.5
2020,,17 years,13.1
2021,,17 years,11.2
2022,,17 years,
2023,,17 years,
2015,,18 years,38.4
2016,,18 years,35.1
2017,,18 years,31.5
2018,,18 years,27.9
2019,,18 years,24.0
2020,,18 years,22.6
2021,,18 years,20.6
2022,,18 years,
2023,,18 years,
2015,,19 years,55.6
2016,,19 years,52.4
2017,,19 years,48.6
2018,,19 years,43.0
2019,,19 years,38.7
2020,,19 years,37.4
2021,,19 years,32.5
2022,,19 years,
2023,,19 years,
2015,,up to 20 years,27.3
2016,,up to 20 years,25.3
2017,,up to 20 years,22.4
2018,,up to 20 years,19.7
2019,,up to 20 years,16.9
2020,,up to 20 years,15.8
2021,,up to 20 years,13.8
2022,,up to 20 years,
2023,,up to 20 years,
