Year,Component,Region,Age,Gender,Value
2023,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,
2017,com_1_cohension,29_reg_Kharkiv,age_2_36_60,,6.6
2018,com_1_cohension,29_reg_Kharkiv,age_2_36_60,,
2019,com_1_cohension,29_reg_Kharkiv,age_2_36_60,,
2020,com_1_cohension,29_reg_Kharkiv,age_2_36_60,,
2021,com_1_cohension,29_reg_Kharkiv,age_36_59,,
2022,com_1_cohension,29_reg_Kharkiv,age_36_59,,
2023,com_1_cohension,29_reg_Kharkiv,age_36_59,,
2017,com_1_cohension,29_reg_Kharkiv,age_3_61,,6.7
2018,com_1_cohension,29_reg_Kharkiv,age_3_61,,
2019,com_1_cohension,29_reg_Kharkiv,age_3_61,,
2020,com_1_cohension,29_reg_Kharkiv,age_3_61,,
2021,com_1_cohension,29_reg_Kharkiv,age_60,,
2022,com_1_cohension,29_reg_Kharkiv,age_60,,
2023,com_1_cohension,29_reg_Kharkiv,age_60,,
2017,com_1_cohension,29_reg_Kharkiv,,males,6.5
2018,com_1_cohension,29_reg_Kharkiv,,males,
2019,com_1_cohension,29_reg_Kharkiv,,males,
2020,com_1_cohension,29_reg_Kharkiv,,males,
2021,com_1_cohension,29_reg_Kharkiv,,males,
2022,com_1_cohension,29_reg_Kharkiv,,males,
2023,com_1_cohension,29_reg_Kharkiv,,males,
2017,com_1_cohension,29_reg_Kharkiv,,females,6.7
2018,com_1_cohension,29_reg_Kharkiv,,females,
2019,com_1_cohension,29_reg_Kharkiv,,females,
2020,com_1_cohension,29_reg_Kharkiv,,females,
2021,com_1_cohension,29_reg_Kharkiv,,females,
2022,com_1_cohension,29_reg_Kharkiv,,females,
2023,com_1_cohension,29_reg_Kharkiv,,females,
2017,com_2_tolerance,14_reg_Donetsk,,,
2018,com_2_tolerance,14_reg_Donetsk,,,
2019,com_2_tolerance,14_reg_Donetsk,,,
2020,com_2_tolerance,14_reg_Donetsk,,,
2021,com_2_tolerance,14_reg_Donetsk,,,
2022,com_2_tolerance,14_reg_Donetsk,,,
2023,com_2_tolerance,14_reg_Donetsk,,,
2017,com_2_tolerance,14_reg_Donetsk,age_1_18_35,,
2018,com_2_tolerance,14_reg_Donetsk,age_1_18_35,,
2019,com_2_tolerance,14_reg_Donetsk,age_1_18_35,,
2020,com_2_tolerance,14_reg_Donetsk,age_1_18_35,,
2021,com_2_tolerance,14_reg_Donetsk,age_1_18_35,,
2022,com_2_tolerance,14_reg_Donetsk,age_1_18_35,,
2023,com_2_tolerance,14_reg_Donetsk,age_1_18_35,,
2017,com_2_tolerance,14_reg_Donetsk,age_2_36_60,,5.0
2018,com_2_tolerance,14_reg_Donetsk,age_2_36_60,,
2019,com_2_tolerance,14_reg_Donetsk,age_2_36_60,,
2020,com_2_tolerance,14_reg_Donetsk,age_2_36_60,,
2021,com_2_tolerance,14_reg_Donetsk,age_36_59,,
2022,com_2_tolerance,14_reg_Donetsk,age_36_59,,
2023,com_2_tolerance,14_reg_Donetsk,age_36_59,,
2017,com_2_tolerance,14_reg_Donetsk,age_3_61,,4.8
2018,com_2_tolerance,14_reg_Donetsk,age_3_61,,
2019,com_2_tolerance,14_reg_Donetsk,age_3_61,,
2020,com_2_tolerance,14_reg_Donetsk,age_3_61,,
2021,com_2_tolerance,14_reg_Donetsk,age_60,,
2022,com_2_tolerance,14_reg_Donetsk,age_60,,
2023,com_2_tolerance,14_reg_Donetsk,age_60,,
2017,com_2_tolerance,14_reg_Donetsk,,males,4.9
2018,com_2_tolerance,14_reg_Donetsk,,males,
2019,com_2_tolerance,14_reg_Donetsk,,males,
2020,com_2_tolerance,14_reg_Donetsk,,males,
2021,com_2_tolerance,14_reg_Donetsk,,males,
2022,com_2_tolerance,14_reg_Donetsk,,males,
2023,com_2_tolerance,14_reg_Donetsk,,males,
2017,com_2_tolerance,14_reg_Donetsk,,females,5.0
2018,com_2_tolerance,14_reg_Donetsk,,females,
2019,com_2_tolerance,14_reg_Donetsk,,females,
2020,com_2_tolerance,14_reg_Donetsk,,females,
2021,com_2_tolerance,14_reg_Donetsk,,females,
2022,com_2_tolerance,14_reg_Donetsk,,females,
2023,com_2_tolerance,14_reg_Donetsk,,females,
2017,com_2_tolerance,21_reg_Luhansk,,,
2018,com_2_tolerance,21_reg_Luhansk,,,
2019,com_2_tolerance,21_reg_Luhansk,,,
2020,com_2_tolerance,21_reg_Luhansk,,,
2021,com_2_tolerance,21_reg_Luhansk,,,
2022,com_2_tolerance,21_reg_Luhansk,,,
2023,com_2_tolerance,21_reg_Luhansk,,,
2017,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,4.9
2018,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2019,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2020,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2021,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2022,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2023,com_2_tolerance,21_reg_Luhansk,age_1_18_35,,
2017,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,4.9
2018,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,
2019,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,
2020,com_2_tolerance,21_reg_Luhansk,age_2_36_60,,
2021,com_2_tolerance,21_reg_Luhansk,age_36_59,,
2022,com_2_tolerance,21_reg_Luhansk,age_36_59,,
2023,com_2_tolerance,21_reg_Luhansk,age_36_59,,
2017,com_2_tolerance,21_reg_Luhansk,age_3_61,,4.6
2018,com_2_tolerance,21_reg_Luhansk,age_3_61,,
2019,com_2_tolerance,21_reg_Luhansk,age_3_61,,
2020,com_2_tolerance,21_reg_Luhansk,age_3_61,,
2021,com_2_tolerance,21_reg_Luhansk,age_60,,
2022,com_2_tolerance,21_reg_Luhansk,age_60,,
2023,com_2_tolerance,21_reg_Luhansk,age_60,,
2017,com_2_tolerance,21_reg_Luhansk,,males,4.7
2018,com_2_tolerance,21_reg_Luhansk,,males,
2019,com_2_tolerance,21_reg_Luhansk,,males,
2020,com_2_tolerance,21_reg_Luhansk,,males,
2021,com_2_tolerance,21_reg_Luhansk,,males,
2022,com_2_tolerance,21_reg_Luhansk,,males,
2023,com_2_tolerance,21_reg_Luhansk,,males,
2017,com_2_tolerance,21_reg_Luhansk,,females,4.9
2018,com_2_tolerance,21_reg_Luhansk,,females,
2019,com_2_tolerance,21_reg_Luhansk,,females,
2020,com_2_tolerance,21_reg_Luhansk,,females,
2021,com_2_tolerance,21_reg_Luhansk,,females,
2022,com_2_tolerance,21_reg_Luhansk,,females,
2023,com_2_tolerance,21_reg_Luhansk,,females,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,,,
2018,com_2_tolerance,13_reg_Dnipropetrovsk,,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,,,
2020,com_2_tolerance,13_reg_Dnipropetrovsk,,,
2021,com_2_tolerance,13_reg_Dnipropetrovsk,,,
2022,com_2_tolerance,13_reg_Dnipropetrovsk,,,
2023,com_2_tolerance,13_reg_Dnipropetrovsk,,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2020,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2021,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2022,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2023,com_2_tolerance,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,
2020,com_2_tolerance,13_reg_Dnipropetrovsk,age_2_36_60,,
2021,com_2_tolerance,13_reg_Dnipropetrovsk,age_36_59,,
2022,com_2_tolerance,13_reg_Dnipropetrovsk,age_36_59,,
2023,com_2_tolerance,13_reg_Dnipropetrovsk,age_36_59,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,4.7
2018,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,
2020,com_2_tolerance,13_reg_Dnipropetrovsk,age_3_61,,
2021,com_2_tolerance,13_reg_Dnipropetrovsk,age_60,,
2022,com_2_tolerance,13_reg_Dnipropetrovsk,age_60,,
2023,com_2_tolerance,13_reg_Dnipropetrovsk,age_60,,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,,males,4.7
2018,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2020,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2021,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2022,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2023,com_2_tolerance,13_reg_Dnipropetrovsk,,males,
2017,com_2_tolerance,13_reg_Dnipropetrovsk,,females,4.8
2018,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2019,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2020,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2021,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2022,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2023,com_2_tolerance,13_reg_Dnipropetrovsk,,females,
2017,com_2_tolerance,17_reg_Zaporizhzhya,,,
2018,com_2_tolerance,17_reg_Zaporizhzhya,,,
2019,com_2_tolerance,17_reg_Zaporizhzhya,,,
2020,com_2_tolerance,17_reg_Zaporizhzhya,,,
2021,com_2_tolerance,17_reg_Zaporizhzhya,,,
2022,com_2_tolerance,17_reg_Zaporizhzhya,,,
2023,com_2_tolerance,17_reg_Zaporizhzhya,,,
2017,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,4.9
2018,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2019,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2020,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2021,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2022,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2023,com_2_tolerance,17_reg_Zaporizhzhya,age_1_18_35,,
2017,com_2_tolerance,17_reg_Zaporizhzhya,age_2_36_60,,4.8
2018,com_2_tolerance,17_reg_Zaporizhzhya,age_2_36_60,,
2019,com_2_tolerance,17_reg_Zaporizhzhya,age_2_36_60,,
2020,com_2_tolerance,17_reg_Zaporizhzhya,age_2_36_60,,
2021,com_2_tolerance,17_reg_Zaporizhzhya,age_36_59,,
2022,com_2_tolerance,17_reg_Zaporizhzhya,age_36_59,,
2023,com_2_tolerance,17_reg_Zaporizhzhya,age_36_59,,
2017,com_2_tolerance,17_reg_Zaporizhzhya,age_3_61,,4.8
2018,com_2_tolerance,17_reg_Zaporizhzhya,age_3_61,,
2019,com_2_tolerance,17_reg_Zaporizhzhya,age_3_61,,
2020,com_2_tolerance,17_reg_Zaporizhzhya,age_3_61,,
2021,com_2_tolerance,17_reg_Zaporizhzhya,age_60,,
2022,com_2_tolerance,17_reg_Zaporizhzhya,age_60,,
2023,com_2_tolerance,17_reg_Zaporizhzhya,age_60,,
2017,com_2_tolerance,17_reg_Zaporizhzhya,,males,4.7
2018,com_2_tolerance,17_reg_Zaporizhzhya,,males,
2019,com_2_tolerance,17_reg_Zaporizhzhya,,males,
2020,com_2_tolerance,17_reg_Zaporizhzhya,,males,
2021,com_2_tolerance,17_reg_Zaporizhzhya,,males,
2022,com_2_tolerance,17_reg_Zaporizhzhya,,males,
2023,com_2_tolerance,17_reg_Zaporizhzhya,,males,
2017,com_2_tolerance,17_reg_Zaporizhzhya,,females,5.0
2018,com_2_tolerance,17_reg_Zaporizhzhya,,females,
2019,com_2_tolerance,17_reg_Zaporizhzhya,,females,
2020,com_2_tolerance,17_reg_Zaporizhzhya,,females,
2021,com_2_tolerance,17_reg_Zaporizhzhya,,females,
2022,com_2_tolerance,17_reg_Zaporizhzhya,,females,
2023,com_2_tolerance,17_reg_Zaporizhzhya,,females,
2017,com_2_tolerance,29_reg_Kharkiv,,,
2018,com_2_tolerance,29_reg_Kharkiv,,,
2019,com_2_tolerance,29_reg_Kharkiv,,,
2020,com_2_tolerance,29_reg_Kharkiv,,,
2021,com_2_tolerance,29_reg_Kharkiv,,,
2022,com_2_tolerance,29_reg_Kharkiv,,,
2023,com_2_tolerance,29_reg_Kharkiv,,,
2017,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,4.7
2018,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2019,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2020,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2021,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2022,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2023,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2017,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,4.8
2018,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,
2019,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,
2020,com_2_tolerance,29_reg_Kharkiv,age_2_36_60,,
2021,com_2_tolerance,29_reg_Kharkiv,age_36_59,,
2022,com_2_tolerance,29_reg_Kharkiv,age_36_59,,
2023,com_2_tolerance,29_reg_Kharkiv,age_36_59,,
2017,com_2_tolerance,29_reg_Kharkiv,age_3_61,,4.7
2018,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2019,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2020,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2021,com_2_tolerance,29_reg_Kharkiv,age_60,,
2022,com_2_tolerance,29_reg_Kharkiv,age_60,,
2023,com_2_tolerance,29_reg_Kharkiv,age_60,,
2017,com_2_tolerance,29_reg_Kharkiv,,males,4.6
2018,com_2_tolerance,29_reg_Kharkiv,,males,
2019,com_2_tolerance,29_reg_Kharkiv,,males,
2020,com_2_tolerance,29_reg_Kharkiv,,males,
2021,com_2_tolerance,29_reg_Kharkiv,,males,
2022,com_2_tolerance,29_reg_Kharkiv,,males,
2023,com_2_tolerance,29_reg_Kharkiv,,males,
2017,com_2_tolerance,29_reg_Kharkiv,,females,4.9
2018,com_2_tolerance,29_reg_Kharkiv,,females,
2019,com_2_tolerance,29_reg_Kharkiv,,females,
2020,com_2_tolerance,29_reg_Kharkiv,,females,
2021,com_2_tolerance,29_reg_Kharkiv,,females,
2022,com_2_tolerance,29_reg_Kharkiv,,females,
2023,com_2_tolerance,29_reg_Kharkiv,,females,
2017,com_3_adapt,14_reg_Donetsk,,,
2018,com_3_adapt,14_reg_Donetsk,,,
2019,com_3_adapt,14_reg_Donetsk,,,
2020,com_3_adapt,14_reg_Donetsk,,,
2021,com_3_adapt,14_reg_Donetsk,,,
2022,com_3_adapt,14_reg_Donetsk,,,
2023,com_3_adapt,14_reg_Donetsk,,,
2017,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2018,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2019,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2020,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2021,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2022,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2023,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2017,com_3_adapt,14_reg_Donetsk,age_2_36_60,,7.8
2018,com_3_adapt,14_reg_Donetsk,age_2_36_60,,
2019,com_3_adapt,14_reg_Donetsk,age_2_36_60,,
2020,com_3_adapt,14_reg_Donetsk,age_2_36_60,,
2021,com_3_adapt,14_reg_Donetsk,age_36_59,,
2022,com_3_adapt,14_reg_Donetsk,age_36_59,,
2023,com_3_adapt,14_reg_Donetsk,age_36_59,,
2017,com_3_adapt,14_reg_Donetsk,age_3_61,,7.8
2018,com_3_adapt,14_reg_Donetsk,age_3_61,,
2019,com_3_adapt,14_reg_Donetsk,age_3_61,,
2020,com_3_adapt,14_reg_Donetsk,age_3_61,,
2021,com_3_adapt,14_reg_Donetsk,age_60,,
2022,com_3_adapt,14_reg_Donetsk,age_60,,
2023,com_3_adapt,14_reg_Donetsk,age_60,,
2017,com_3_adapt,14_reg_Donetsk,,males,7.7
2018,com_3_adapt,14_reg_Donetsk,,males,
2019,com_3_adapt,14_reg_Donetsk,,males,
