Year,Еconomic activity,including,Value
2023,Processing industry,"textile manufacturing, manufacture of clothing, leather, leather goods and other materials",
2015,Processing industry,"manufacture of wood products, paper manufacturing and printing",22.5
2016,Processing industry,"manufacture of wood products, paper manufacturing and printing",
2017,Processing industry,"manufacture of wood products, paper manufacturing and printing",23.7
2018,Processing industry,"manufacture of wood products, paper manufacturing and printing",
2019,Processing industry,"manufacture of wood products, paper manufacturing and printing",25.6
2020,Processing industry,"manufacture of wood products, paper manufacturing and printing",
2021,Processing industry,"manufacture of wood products, paper manufacturing and printing",
2022,Processing industry,"manufacture of wood products, paper manufacturing and printing",
2023,Processing industry,"manufacture of wood products, paper manufacturing and printing",
2015,Processing industry,manufacture of coke and refined petroleum products,58.5
2016,Processing industry,manufacture of coke and refined petroleum products,
2017,Processing industry,manufacture of coke and refined petroleum products,61.3
2018,Processing industry,manufacture of coke and refined petroleum products,
2019,Processing industry,manufacture of coke and refined petroleum products,59.5
2020,Processing industry,manufacture of coke and refined petroleum products,
2021,Processing industry,manufacture of coke and refined petroleum products,
2022,Processing industry,manufacture of coke and refined petroleum products,
2023,Processing industry,manufacture of coke and refined petroleum products,
2015,Processing industry,manufacture of chemicals and chemical products,37.2
2016,Processing industry,manufacture of chemicals and chemical products,
2017,Processing industry,manufacture of chemicals and chemical products,33.4
2018,Processing industry,manufacture of chemicals and chemical products,
2019,Processing industry,manufacture of chemicals and chemical products,37.3
2020,Processing industry,manufacture of chemicals and chemical products,
2021,Processing industry,manufacture of chemicals and chemical products,
2022,Processing industry,manufacture of chemicals and chemical products,
2023,Processing industry,manufacture of chemicals and chemical products,
2015,Processing industry,manufacture of main pharmaceutical products and preparations,21.2
2016,Processing industry,manufacture of main pharmaceutical products and preparations,
2017,Processing industry,manufacture of main pharmaceutical products and preparations,19.1
2018,Processing industry,manufacture of main pharmaceutical products and preparations,
2019,Processing industry,manufacture of main pharmaceutical products and preparations,20.0
2020,Processing industry,manufacture of main pharmaceutical products and preparations,
2021,Processing industry,manufacture of main pharmaceutical products and preparations,
2022,Processing industry,manufacture of main pharmaceutical products and preparations,
2023,Processing industry,manufacture of main pharmaceutical products and preparations,
2015,Processing industry,"manufacture of rubber and plastic products, other non-metallic mineral products",26.9
2016,Processing industry,"manufacture of rubber and plastic products, other non-metallic mineral products",
2017,Processing industry,"manufacture of rubber and plastic products, other non-metallic mineral products",29.7
2018,Processing industry,"manufacture of rubber and plastic products, other non-metallic mineral products",
2019,Processing industry,"manufacture of rubber and plastic products, other non-metallic mineral products",28.3
2020,Processing industry,"manufacture of rubber and plastic products, other non-metallic mineral products",
2021,Processing industry,"manufacture of rubber and plastic products, other non-metallic mineral products",
2022,Processing industry,"manufacture of rubber and plastic products, other non-metallic mineral products",
2023,Processing industry,"manufacture of rubber and plastic products, other non-metallic mineral products",
2015,Processing industry,"metallurgical manufacturing, manufacture of fabricated metal products, except machinery and equipment",57.7
2016,Processing industry,"metallurgical manufacturing, manufacture of fabricated metal products, except machinery and equipment",
2017,Processing industry,"metallurgical manufacturing, manufacture of fabricated metal products, except machinery and equipment",56.3
2018,Processing industry,"metallurgical manufacturing, manufacture of fabricated metal products, except machinery and equipment",
2019,Processing industry,"metallurgical manufacturing, manufacture of fabricated metal products, except machinery and equipment",55.4
2020,Processing industry,"metallurgical manufacturing, manufacture of fabricated metal products, except machinery and equipment",
2021,Processing industry,"metallurgical manufacturing, manufacture of fabricated metal products, except machinery and equipment",
2022,Processing industry,"metallurgical manufacturing, manufacture of fabricated metal products, except machinery and equipment",
2023,Processing industry,"metallurgical manufacturing, manufacture of fabricated metal products, except machinery and equipment",
2015,Processing industry,"manufacture of computers, electronic and optical products",14.7
2016,Processing industry,"manufacture of computers, electronic and optical products",
2017,Processing industry,"manufacture of computers, electronic and optical products",14.4
2018,Processing industry,"manufacture of computers, electronic and optical products",
2019,Processing industry,"manufacture of computers, electronic and optical products",13.2
2020,Processing industry,"manufacture of computers, electronic and optical products",
2021,Processing industry,"manufacture of computers, electronic and optical products",
2022,Processing industry,"manufacture of computers, electronic and optical products",
2023,Processing industry,"manufacture of computers, electronic and optical products",
2015,Processing industry,manufacture of electrical equipment,23.7
2016,Processing industry,manufacture of electrical equipment,
2017,Processing industry,manufacture of electrical equipment,21.0
2018,Processing industry,manufacture of electrical equipment,
2019,Processing industry,manufacture of electrical equipment,19.4
2020,Processing industry,manufacture of electrical equipment,
2021,Processing industry,manufacture of electrical equipment,
2022,Processing industry,manufacture of electrical equipment,
2023,Processing industry,manufacture of electrical equipment,
2015,Processing industry,"manufacture of machinery and equipment, not elsewhere classified",25.3
2016,Processing industry,"manufacture of machinery and equipment, not elsewhere classified",
2017,Processing industry,"manufacture of machinery and equipment, not elsewhere classified",21.9
2018,Processing industry,"manufacture of machinery and equipment, not elsewhere classified",
2019,Processing industry,"manufacture of machinery and equipment, not elsewhere classified",21.1
2020,Processing industry,"manufacture of machinery and equipment, not elsewhere classified",
2021,Processing industry,"manufacture of machinery and equipment, not elsewhere classified",
2022,Processing industry,"manufacture of machinery and equipment, not elsewhere classified",
2023,Processing industry,"manufacture of machinery and equipment, not elsewhere classified",
2015,Processing industry,"manufacture of motor vehicles, trailers and semi-trailers and other vehicles",21.5
2016,Processing industry,"manufacture of motor vehicles, trailers and semi-trailers and other vehicles",
2017,Processing industry,"manufacture of motor vehicles, trailers and semi-trailers and other vehicles",19.4
2018,Processing industry,"manufacture of motor vehicles, trailers and semi-trailers and other vehicles",
2019,Processing industry,"manufacture of motor vehicles, trailers and semi-trailers and other vehicles",19.4
2020,Processing industry,"manufacture of motor vehicles, trailers and semi-trailers and other vehicles",
2021,Processing industry,"manufacture of motor vehicles, trailers and semi-trailers and other vehicles",
2022,Processing industry,"manufacture of motor vehicles, trailers and semi-trailers and other vehicles",
2023,Processing industry,"manufacture of motor vehicles, trailers and semi-trailers and other vehicles",
2015,Processing industry,"manufacture of furniture, other products, repair and installation of machinery and equipment",30.3
2016,Processing industry,"manufacture of furniture, other products, repair and installation of machinery and equipment",
2017,Processing industry,"manufacture of furniture, other products, repair and installation of machinery and equipment",29.1
2018,Processing industry,"manufacture of furniture, other products, repair and installation of machinery and equipment",
2019,Processing industry,"manufacture of furniture, other products, repair and installation of machinery and equipment",33.9
2020,Processing industry,"manufacture of furniture, other products, repair and installation of machinery and equipment",
2021,Processing industry,"manufacture of furniture, other products, repair and installation of machinery and equipment",
2022,Processing industry,"manufacture of furniture, other products, repair and installation of machinery and equipment",
2023,Processing industry,"manufacture of furniture, other products, repair and installation of machinery and equipment",
2015,"Supply of electricity, gas, steam and air conditioning",,35.2
2016,"Supply of electricity, gas, steam and air conditioning",,
2017,"Supply of electricity, gas, steam and air conditioning",,34.9
2018,"Supply of electricity, gas, steam and air conditioning",,
2019,"Supply of electricity, gas, steam and air conditioning",,34.0
2020,"Supply of electricity, gas, steam and air conditioning",,
2021,"Supply of electricity, gas, steam and air conditioning",,
2022,"Supply of electricity, gas, steam and air conditioning",,
2023,"Supply of electricity, gas, steam and air conditioning",,
2015,"Water supply; sewage, waste management",,35.3
2016,"Water supply; sewage, waste management",,
2017,"Water supply; sewage, waste management",,35.4
2018,"Water supply; sewage, waste management",,
2019,"Water supply; sewage, waste management",,36.5
2020,"Water supply; sewage, waste management",,
2021,"Water supply; sewage, waste management",,
2022,"Water supply; sewage, waste management",,
2023,"Water supply; sewage, waste management",,
2015,Construction,,20.8
2016,Construction,,
2017,Construction,,20.5
2018,Construction,,
2019,Construction,,22.5
2020,Construction,,
2021,Construction,,
2022,Construction,,
2023,Construction,,
2015,"Transport, warehousing, postal and courier activities",,23.1
2016,"Transport, warehousing, postal and courier activities",,
2017,"Transport, warehousing, postal and courier activities",,23.5
2018,"Transport, warehousing, postal and courier activities",,
2019,"Transport, warehousing, postal and courier activities",,27.0
2020,"Transport, warehousing, postal and courier activities",,
2021,"Transport, warehousing, postal and courier activities",,
2022,"Transport, warehousing, postal and courier activities",,
2023,"Transport, warehousing, postal and courier activities",,
2015,Telecommunications,,11.4
2016,Telecommunications,,
2017,Telecommunications,,10.7
2018,Telecommunications,,
2019,Telecommunications,,11.1
2020,Telecommunications,,
2021,Telecommunications,,
2022,Telecommunications,,
2023,Telecommunications,,
