Year,Article of the Criminal Code of Ukraine,Group,Unit,Value
2021,"total number of victims of criminal offenses, Аrt. of CCU",adolescents,Victims of criminal offenses (total),3661.0
2022,"total number of victims of criminal offenses, Аrt. of CCU",adolescents,Victims of criminal offenses (total),6047.0
2023,"total number of victims of criminal offenses, Аrt. of CCU",adolescents,Victims of criminal offenses (total),7289.0
2015,"total number of victims of criminal offenses, Аrt. of CCU",young (under 14),Victims of criminal offenses (total),2241.0
2016,"total number of victims of criminal offenses, Аrt. of CCU",young (under 14),Victims of criminal offenses (total),2362.0
2017,"total number of victims of criminal offenses, Аrt. of CCU",young (under 14),Victims of criminal offenses (total),2208.0
2018,"total number of victims of criminal offenses, Аrt. of CCU",young (under 14),Victims of criminal offenses (total),2217.0
2019,"total number of victims of criminal offenses, Аrt. of CCU",young (under 14),Victims of criminal offenses (total),2222.0
2020,"total number of victims of criminal offenses, Аrt. of CCU",young (under 14),Victims of criminal offenses (total),2034.0
2021,"total number of victims of criminal offenses, Аrt. of CCU",young (under 14),Victims of criminal offenses (total),2214.0
2022,"total number of victims of criminal offenses, Аrt. of CCU",young (under 14),Victims of criminal offenses (total),2561.0
2023,"total number of victims of criminal offenses, Аrt. of CCU",young (under 14),Victims of criminal offenses (total),4206.0
2015,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (per 100 thousand population),14.8
2016,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (per 100 thousand population),8.24
2017,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (per 100 thousand population),6.49
2018,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (per 100 thousand population),3.93
2019,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (per 100 thousand population),3.72
2020,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (per 100 thousand population),3.9
2021,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (per 100 thousand population),3.3
2022,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (per 100 thousand population),27.09
2023,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (per 100 thousand population),111.97
2015,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (total),6330.0
2016,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (total),3511.0
2017,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (total),2751.0
2018,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (total),1657.0
2019,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (total),1557.0
2020,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (total),1624.0
2021,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (total),1346.0
2022,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (total),11154.0
2023,"intentional homicide (and relevant attempts), Аrticles 115-118",all,Victims of criminal offenses (total),46095.0
2015,"intentional homicide (and relevant attempts), Аrticles 115-118",females,Victims of criminal offenses (total),1214.0
2016,"intentional homicide (and relevant attempts), Аrticles 115-118",females,Victims of criminal offenses (total),980.0
2017,"intentional homicide (and relevant attempts), Аrticles 115-118",females,Victims of criminal offenses (total),461.0
2018,"intentional homicide (and relevant attempts), Аrticles 115-118",females,Victims of criminal offenses (total),465.0
2019,"intentional homicide (and relevant attempts), Аrticles 115-118",females,Victims of criminal offenses (total),429.0
2020,"intentional homicide (and relevant attempts), Аrticles 115-118",females,Victims of criminal offenses (total),405.0
2021,"intentional homicide (and relevant attempts), Аrticles 115-118",females,Victims of criminal offenses (total),353.0
2022,"intentional homicide (and relevant attempts), Аrticles 115-118",females,Victims of criminal offenses (total),376.0
2023,"intentional homicide (and relevant attempts), Аrticles 115-118",females,Victims of criminal offenses (total),342.0
2015,"intentional homicide (and relevant attempts), Аrticles 115-118",adolescents,Victims of criminal offenses (total),55.0
2016,"intentional homicide (and relevant attempts), Аrticles 115-118",adolescents,Victims of criminal offenses (total),36.0
2017,"intentional homicide (and relevant attempts), Аrticles 115-118",adolescents,Victims of criminal offenses (total),19.0
2018,"intentional homicide (and relevant attempts), Аrticles 115-118",adolescents,Victims of criminal offenses (total),19.0
2019,"intentional homicide (and relevant attempts), Аrticles 115-118",adolescents,Victims of criminal offenses (total),12.0
2020,"intentional homicide (and relevant attempts), Аrticles 115-118",adolescents,Victims of criminal offenses (total),18.0
2021,"intentional homicide (and relevant attempts), Аrticles 115-118",adolescents,Victims of criminal offenses (total),10.0
2022,"intentional homicide (and relevant attempts), Аrticles 115-118",adolescents,Victims of criminal offenses (total),9.0
2023,"intentional homicide (and relevant attempts), Аrticles 115-118",adolescents,Victims of criminal offenses (total),145.0
2015,"intentional homicide (and relevant attempts), Аrticles 115-118",young (under 14),Victims of criminal offenses (total),91.0
2016,"intentional homicide (and relevant attempts), Аrticles 115-118",young (under 14),Victims of criminal offenses (total),79.0
2017,"intentional homicide (and relevant attempts), Аrticles 115-118",young (under 14),Victims of criminal offenses (total),41.0
2018,"intentional homicide (and relevant attempts), Аrticles 115-118",young (under 14),Victims of criminal offenses (total),46.0
2019,"intentional homicide (and relevant attempts), Аrticles 115-118",young (under 14),Victims of criminal offenses (total),39.0
2020,"intentional homicide (and relevant attempts), Аrticles 115-118",young (under 14),Victims of criminal offenses (total),45.0
2021,"intentional homicide (and relevant attempts), Аrticles 115-118",young (under 14),Victims of criminal offenses (total),32.0
2022,"intentional homicide (and relevant attempts), Аrticles 115-118",young (under 14),Victims of criminal offenses (total),25.0
2023,"intentional homicide (and relevant attempts), Аrticles 115-118",young (under 14),Victims of criminal offenses (total),20.0
2015,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (per 100 thousand population),0.72
2016,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (per 100 thousand population),0.77
2017,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (per 100 thousand population),0.55
2018,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (per 100 thousand population),0.47
2019,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (per 100 thousand population),0.81
2020,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (per 100 thousand population),0.93
2021,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (per 100 thousand population),0.95
2022,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (per 100 thousand population),0.57
2023,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (per 100 thousand population),1.08
2015,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (total),306.0
2016,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (total),328.0
2017,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (total),233.0
2018,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (total),197.0
2019,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (total),341.0
2020,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (total),388.0
2021,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (total),391.0
2022,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (total),236.0
2023,"rape (and relevant attempts), Аrt. 152",all,Victims of criminal offenses (total),443.0
2015,"rape (and relevant attempts), Аrt. 152",females,Victims of criminal offenses (total),278.0
2016,"rape (and relevant attempts), Аrt. 152",females,Victims of criminal offenses (total),298.0
2017,"rape (and relevant attempts), Аrt. 152",females,Victims of criminal offenses (total),208.0
2018,"rape (and relevant attempts), Аrt. 152",females,Victims of criminal offenses (total),170.0
2019,"rape (and relevant attempts), Аrt. 152",females,Victims of criminal offenses (total),276.0
2020,"rape (and relevant attempts), Аrt. 152",females,Victims of criminal offenses (total),263.0
2021,"rape (and relevant attempts), Аrt. 152",females,Victims of criminal offenses (total),234.0
2022,"rape (and relevant attempts), Аrt. 152",females,Victims of criminal offenses (total),120.0
2023,"rape (and relevant attempts), Аrt. 152",females,Victims of criminal offenses (total),335.0
2015,"rape (and relevant attempts), Аrt. 152",adolescents,Victims of criminal offenses (total),57.0
2016,"rape (and relevant attempts), Аrt. 152",adolescents,Victims of criminal offenses (total),55.0
2017,"rape (and relevant attempts), Аrt. 152",adolescents,Victims of criminal offenses (total),50.0
2018,"rape (and relevant attempts), Аrt. 152",adolescents,Victims of criminal offenses (total),39.0
2019,"rape (and relevant attempts), Аrt. 152",adolescents,Victims of criminal offenses (total),56.0
2020,"rape (and relevant attempts), Аrt. 152",adolescents,Victims of criminal offenses (total),82.0
2021,"rape (and relevant attempts), Аrt. 152",adolescents,Victims of criminal offenses (total),136.0
2022,"rape (and relevant attempts), Аrt. 152",adolescents,Victims of criminal offenses (total),61.0
2023,"rape (and relevant attempts), Аrt. 152",adolescents,Victims of criminal offenses (total),207.0
2015,"rape (and relevant attempts), Аrt. 152",young (under 14),Victims of criminal offenses (total),27.0
2016,"rape (and relevant attempts), Аrt. 152",young (under 14),Victims of criminal offenses (total),32.0
2017,"rape (and relevant attempts), Аrt. 152",young (under 14),Victims of criminal offenses (total),39.0
2018,"rape (and relevant attempts), Аrt. 152",young (under 14),Victims of criminal offenses (total),28.0
2019,"rape (and relevant attempts), Аrt. 152",young (under 14),Victims of criminal offenses (total),92.0
2020,"rape (and relevant attempts), Аrt. 152",young (under 14),Victims of criminal offenses (total),151.0
2021,"rape (and relevant attempts), Аrt. 152",young (under 14),Victims of criminal offenses (total),148.0
2022,"rape (and relevant attempts), Аrt. 152",young (under 14),Victims of criminal offenses (total),97.0
2023,"rape (and relevant attempts), Аrt. 152",young (under 14),Victims of criminal offenses (total),172.0
2015,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (per 100 thousand population),5.58
2016,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (per 100 thousand population),5.1
2017,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (per 100 thousand population),4.7
2018,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (per 100 thousand population),4.86
2019,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (per 100 thousand population),4.48
2020,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (per 100 thousand population),3.88
2021,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (per 100 thousand population),3.67
2022,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (per 100 thousand population),3.51
2023,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (per 100 thousand population),3.28
2015,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (total),2385.0
2016,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (total),2170.0
2017,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (total),1991.0
2018,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (total),2047.0
2019,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (total),1878.0
2020,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (total),1614.0
2021,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (total),1512.0
2022,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (total),1443.0
2023,"intentional grievous bodily harm, Аrt. 121",all,Victims of criminal offenses (total),1352.0
2015,"intentional grievous bodily harm, Аrt. 121",females,Victims of criminal offenses (total),425.0
2016,"intentional grievous bodily harm, Аrt. 121",females,Victims of criminal offenses (total),387.0
2017,"intentional grievous bodily harm, Аrt. 121",females,Victims of criminal offenses (total),340.0
2018,"intentional grievous bodily harm, Аrt. 121",females,Victims of criminal offenses (total),362.0
2019,"intentional grievous bodily harm, Аrt. 121",females,Victims of criminal offenses (total),319.0
2020,"intentional grievous bodily harm, Аrt. 121",females,Victims of criminal offenses (total),234.0
2021,"intentional grievous bodily harm, Аrt. 121",females,Victims of criminal offenses (total),232.0
2022,"intentional grievous bodily harm, Аrt. 121",females,Victims of criminal offenses (total),199.0
2023,"intentional grievous bodily harm, Аrt. 121",females,Victims of criminal offenses (total),222.0
2015,"intentional grievous bodily harm, Аrt. 121",adolescents,Victims of criminal offenses (total),30.0
2016,"intentional grievous bodily harm, Аrt. 121",adolescents,Victims of criminal offenses (total),28.0
2017,"intentional grievous bodily harm, Аrt. 121",adolescents,Victims of criminal offenses (total),23.0
2018,"intentional grievous bodily harm, Аrt. 121",adolescents,Victims of criminal offenses (total),34.0
2019,"intentional grievous bodily harm, Аrt. 121",adolescents,Victims of criminal offenses (total),16.0
2020,"intentional grievous bodily harm, Аrt. 121",adolescents,Victims of criminal offenses (total),17.0
2021,"intentional grievous bodily harm, Аrt. 121",adolescents,Victims of criminal offenses (total),21.0
2022,"intentional grievous bodily harm, Аrt. 121",adolescents,Victims of criminal offenses (total),16.0
2023,"intentional grievous bodily harm, Аrt. 121",adolescents,Victims of criminal offenses (total),21.0
2015,"intentional grievous bodily harm, Аrt. 121",young (under 14),Victims of criminal offenses (total),11.0
2016,"intentional grievous bodily harm, Аrt. 121",young (under 14),Victims of criminal offenses (total),18.0
2017,"intentional grievous bodily harm, Аrt. 121",young (under 14),Victims of criminal offenses (total),9.0
2018,"intentional grievous bodily harm, Аrt. 121",young (under 14),Victims of criminal offenses (total),6.0
2019,"intentional grievous bodily harm, Аrt. 121",young (under 14),Victims of criminal offenses (total),13.0
2020,"intentional grievous bodily harm, Аrt. 121",young (under 14),Victims of criminal offenses (total),9.0
2021,"intentional grievous bodily harm, Аrt. 121",young (under 14),Victims of criminal offenses (total),4.0
2022,"intentional grievous bodily harm, Аrt. 121",young (under 14),Victims of criminal offenses (total),6.0
2023,"intentional grievous bodily harm, Аrt. 121",young (under 14),Victims of criminal offenses (total),3.0
2015,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (per 100 thousand population),0.26
2016,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (per 100 thousand population),0.2
2017,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (per 100 thousand population),0.73
2018,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (per 100 thousand population),0.55
2019,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (per 100 thousand population),0.63
2020,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (per 100 thousand population),0.37
2021,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (per 100 thousand population),0.39
2022,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (per 100 thousand population),0.16
2023,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (per 100 thousand population),0.22
2015,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (total),113.0
2016,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (total),86.0
2017,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (total),309.0
2018,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (total),231.0
2019,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (total),262.0
2020,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (total),152.0
2021,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (total),163.0
2022,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (total),66.0
2023,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",all,Victims of criminal offenses (total),91.0
2015,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",females,Victims of criminal offenses (total),78.0
2016,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",females,Victims of criminal offenses (total),66.0
2017,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",females,Victims of criminal offenses (total),130.0
2018,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",females,Victims of criminal offenses (total),127.0
2019,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",females,Victims of criminal offenses (total),107.0
2020,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",females,Victims of criminal offenses (total),64.0
2021,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",females,Victims of criminal offenses (total),49.0
2022,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",females,Victims of criminal offenses (total),36.0
2023,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",females,Victims of criminal offenses (total),30.0
2015,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",adolescents,Victims of criminal offenses (total),6.0
2016,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",adolescents,Victims of criminal offenses (total),2.0
2017,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",adolescents,Victims of criminal offenses (total),8.0
2018,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",adolescents,Victims of criminal offenses (total),11.0
2019,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",adolescents,Victims of criminal offenses (total),8.0
2020,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",adolescents,Victims of criminal offenses (total),
2021,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",adolescents,Victims of criminal offenses (total),9.0
2022,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",adolescents,Victims of criminal offenses (total),5.0
2023,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",adolescents,Victims of criminal offenses (total),6.0
2015,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",young (under 14),Victims of criminal offenses (total),1.0
2016,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",young (under 14),Victims of criminal offenses (total),2.0
2017,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",young (under 14),Victims of criminal offenses (total),11.0
2018,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",young (under 14),Victims of criminal offenses (total),12.0
2019,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",young (under 14),Victims of criminal offenses (total),2.0
2020,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",young (under 14),Victims of criminal offenses (total),1.0
2021,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",young (under 14),Victims of criminal offenses (total),17.0
2022,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",young (under 14),Victims of criminal offenses (total),7.0
2023,"human trafficking or other illicit transactions involving the transfer of human beings, Аrt. 149",young (under 14),Victims of criminal offenses (total),10.0
