Year,Article of the Criminal Code of Ukraine,Unit,Value
2018,"Illegal handling of weapons, ammunition or explosives, Art. 263",Per 100 thousand population,17.71
2019,"Illegal handling of weapons, ammunition or explosives, Art. 263",Per 100 thousand population,14.81
2020,"Illegal handling of weapons, ammunition or explosives, Art. 263",Per 100 thousand population,12.3
2021,"Illegal handling of weapons, ammunition or explosives, Art. 263",Per 100 thousand population,9.9
2022,"Illegal handling of weapons, ammunition or explosives, Art. 263",Per 100 thousand population,11.5
2023,"Illegal handling of weapons, ammunition or explosives, Art. 263",Per 100 thousand population,13.56
2015,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Total criminal offenses (number),150.0
2016,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Total criminal offenses (number),119.0
2017,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Total criminal offenses (number),198.0
2018,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Total criminal offenses (number),194.0
2019,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Total criminal offenses (number),185.0
2020,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Total criminal offenses (number),168.0
2021,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Total criminal offenses (number),132.0
2022,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Total criminal offenses (number),113.0
2023,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Total criminal offenses (number),163.0
2015,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Per 100 thousand population,0.35
2016,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Per 100 thousand population,0.28
2017,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Per 100 thousand population,0.47
2018,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Per 100 thousand population,0.46
2019,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Per 100 thousand population,0.44
2020,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Per 100 thousand population,0.4
2021,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Per 100 thousand population,0.32
2022,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Per 100 thousand population,0.27
2023,"Illegal manufacture, processing or repair of firearms, or tampering, illegal removal or alteration of their marking, or illicit manufacture of ammunition, explosives or explosive devices, Art. 263-1",Per 100 thousand population,0.4
