Year,Сomponent of the index,Region,Age,Gender,Value
2017,social cohesion and sense of ownership,Luhansk,61 years and older,,6.9
2018,social cohesion and sense of ownership,Luhansk,61 years and older,,
2019,social cohesion and sense of ownership,Luhansk,61 years and older,,
2020,social cohesion and sense of ownership,Luhansk,61 years and older,,
2021,social cohesion and sense of ownership,Luhansk,60 years and older,,
2022,social cohesion and sense of ownership,Luhansk,60 years and older,,
2023,social cohesion and sense of ownership,Luhansk,60 years and older,,
2017,social cohesion and sense of ownership,Luhansk,,men,6.7
2018,social cohesion and sense of ownership,Luhansk,,men,
2019,social cohesion and sense of ownership,Luhansk,,men,
2020,social cohesion and sense of ownership,Luhansk,,men,
2021,social cohesion and sense of ownership,Luhansk,,men,
2022,social cohesion and sense of ownership,Luhansk,,men,
2023,social cohesion and sense of ownership,Luhansk,,men,
2017,social cohesion and sense of ownership,Luhansk,,women,6.7
2018,social cohesion and sense of ownership,Luhansk,,women,
2019,social cohesion and sense of ownership,Luhansk,,women,
2020,social cohesion and sense of ownership,Luhansk,,women,
2021,social cohesion and sense of ownership,Luhansk,,women,
2022,social cohesion and sense of ownership,Luhansk,,women,
2023,social cohesion and sense of ownership,Luhansk,,women,
2017,social cohesion and sense of ownership,Dnipropetrovsk,,,
2018,social cohesion and sense of ownership,Dnipropetrovsk,,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,,,
2020,social cohesion and sense of ownership,Dnipropetrovsk,,,
2021,social cohesion and sense of ownership,Dnipropetrovsk,,,
2022,social cohesion and sense of ownership,Dnipropetrovsk,,,
2023,social cohesion and sense of ownership,Dnipropetrovsk,,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,6.4
2018,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2020,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2021,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2022,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2023,social cohesion and sense of ownership,Dnipropetrovsk,18-35 years,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,6.6
2018,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,
2020,social cohesion and sense of ownership,Dnipropetrovsk,36-60 years,,
2021,social cohesion and sense of ownership,Dnipropetrovsk,36-59 years,,
2022,social cohesion and sense of ownership,Dnipropetrovsk,36-59 years,,
2023,social cohesion and sense of ownership,Dnipropetrovsk,36-59 years,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,61 years and older,,7.0
2018,social cohesion and sense of ownership,Dnipropetrovsk,61 years and older,,
2019,social cohesion and sense of ownership,Dnipropetrovsk,61 years and older,,
2020,social cohesion and sense of ownership,Dnipropetrovsk,61 years and older,,
2021,social cohesion and sense of ownership,Dnipropetrovsk,60 years and older,,
2022,social cohesion and sense of ownership,Dnipropetrovsk,60 years and older,,
2023,social cohesion and sense of ownership,Dnipropetrovsk,60 years and older,,
2017,social cohesion and sense of ownership,Dnipropetrovsk,,men,6.6
2018,social cohesion and sense of ownership,Dnipropetrovsk,,men,
2019,social cohesion and sense of ownership,Dnipropetrovsk,,men,
2020,social cohesion and sense of ownership,Dnipropetrovsk,,men,
2021,social cohesion and sense of ownership,Dnipropetrovsk,,men,
2022,social cohesion and sense of ownership,Dnipropetrovsk,,men,
2023,social cohesion and sense of ownership,Dnipropetrovsk,,men,
2017,social cohesion and sense of ownership,Dnipropetrovsk,,women,6.6
2018,social cohesion and sense of ownership,Dnipropetrovsk,,women,
2019,social cohesion and sense of ownership,Dnipropetrovsk,,women,
2020,social cohesion and sense of ownership,Dnipropetrovsk,,women,
2021,social cohesion and sense of ownership,Dnipropetrovsk,,women,
2022,social cohesion and sense of ownership,Dnipropetrovsk,,women,
2023,social cohesion and sense of ownership,Dnipropetrovsk,,women,
2017,social cohesion and sense of ownership,Zaporizhzhya,,,
2018,social cohesion and sense of ownership,Zaporizhzhya,,,
2019,social cohesion and sense of ownership,Zaporizhzhya,,,
2020,social cohesion and sense of ownership,Zaporizhzhya,,,
2021,social cohesion and sense of ownership,Zaporizhzhya,,,
2022,social cohesion and sense of ownership,Zaporizhzhya,,,
2023,social cohesion and sense of ownership,Zaporizhzhya,,,
2017,social cohesion and sense of ownership,Zaporizhzhya,18-35 years,,6.3
2018,social cohesion and sense of ownership,Zaporizhzhya,18-35 years,,
2019,social cohesion and sense of ownership,Zaporizhzhya,18-35 years,,
2020,social cohesion and sense of ownership,Zaporizhzhya,18-35 years,,
2021,social cohesion and sense of ownership,Zaporizhzhya,18-35 years,,
2022,social cohesion and sense of ownership,Zaporizhzhya,18-35 years,,
2023,social cohesion and sense of ownership,Zaporizhzhya,18-35 years,,
2017,social cohesion and sense of ownership,Zaporizhzhya,36-60 years,,6.5
2018,social cohesion and sense of ownership,Zaporizhzhya,36-60 years,,
2019,social cohesion and sense of ownership,Zaporizhzhya,36-60 years,,
2020,social cohesion and sense of ownership,Zaporizhzhya,36-60 years,,
2021,social cohesion and sense of ownership,Zaporizhzhya,36-59 years,,
2022,social cohesion and sense of ownership,Zaporizhzhya,36-59 years,,
2023,social cohesion and sense of ownership,Zaporizhzhya,36-59 years,,
2017,social cohesion and sense of ownership,Zaporizhzhya,61 years and older,,6.8
2018,social cohesion and sense of ownership,Zaporizhzhya,61 years and older,,
2019,social cohesion and sense of ownership,Zaporizhzhya,61 years and older,,
2020,social cohesion and sense of ownership,Zaporizhzhya,61 years and older,,
2021,social cohesion and sense of ownership,Zaporizhzhya,60 years and older,,
2022,social cohesion and sense of ownership,Zaporizhzhya,60 years and older,,
2023,social cohesion and sense of ownership,Zaporizhzhya,60 years and older,,
2017,social cohesion and sense of ownership,Zaporizhzhya,,men,6.4
2018,social cohesion and sense of ownership,Zaporizhzhya,,men,
2019,social cohesion and sense of ownership,Zaporizhzhya,,men,
2020,social cohesion and sense of ownership,Zaporizhzhya,,men,
2021,social cohesion and sense of ownership,Zaporizhzhya,,men,
2022,social cohesion and sense of ownership,Zaporizhzhya,,men,
2023,social cohesion and sense of ownership,Zaporizhzhya,,men,
2017,social cohesion and sense of ownership,Zaporizhzhya,,women,6.6
2018,social cohesion and sense of ownership,Zaporizhzhya,,women,
2019,social cohesion and sense of ownership,Zaporizhzhya,,women,
2020,social cohesion and sense of ownership,Zaporizhzhya,,women,
2021,social cohesion and sense of ownership,Zaporizhzhya,,women,
2022,social cohesion and sense of ownership,Zaporizhzhya,,women,
2023,social cohesion and sense of ownership,Zaporizhzhya,,women,
2017,social cohesion and sense of ownership,Kharkiv,,,
2018,social cohesion and sense of ownership,Kharkiv,,,
2019,social cohesion and sense of ownership,Kharkiv,,,
2020,social cohesion and sense of ownership,Kharkiv,,,
2021,social cohesion and sense of ownership,Kharkiv,,,
2022,social cohesion and sense of ownership,Kharkiv,,,
2023,social cohesion and sense of ownership,Kharkiv,,,
2017,social cohesion and sense of ownership,Kharkiv,18-35 years,,6.4
2018,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2019,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2020,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2021,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2022,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2023,social cohesion and sense of ownership,Kharkiv,18-35 years,,
2017,social cohesion and sense of ownership,Kharkiv,36-60 years,,6.6
2018,social cohesion and sense of ownership,Kharkiv,36-60 years,,
2019,social cohesion and sense of ownership,Kharkiv,36-60 years,,
2020,social cohesion and sense of ownership,Kharkiv,36-60 years,,
2021,social cohesion and sense of ownership,Kharkiv,36-59 years,,
2022,social cohesion and sense of ownership,Kharkiv,36-59 years,,
2023,social cohesion and sense of ownership,Kharkiv,36-59 years,,
2017,social cohesion and sense of ownership,Kharkiv,61 years and older,,6.7
2018,social cohesion and sense of ownership,Kharkiv,61 years and older,,
2019,social cohesion and sense of ownership,Kharkiv,61 years and older,,
2020,social cohesion and sense of ownership,Kharkiv,61 years and older,,
2021,social cohesion and sense of ownership,Kharkiv,60 years and older,,
2022,social cohesion and sense of ownership,Kharkiv,60 years and older,,
2023,social cohesion and sense of ownership,Kharkiv,60 years and older,,
2017,social cohesion and sense of ownership,Kharkiv,,men,6.5
2018,social cohesion and sense of ownership,Kharkiv,,men,
2019,social cohesion and sense of ownership,Kharkiv,,men,
2020,social cohesion and sense of ownership,Kharkiv,,men,
2021,social cohesion and sense of ownership,Kharkiv,,men,
2022,social cohesion and sense of ownership,Kharkiv,,men,
2023,social cohesion and sense of ownership,Kharkiv,,men,
2017,social cohesion and sense of ownership,Kharkiv,,women,6.7
2018,social cohesion and sense of ownership,Kharkiv,,women,
2019,social cohesion and sense of ownership,Kharkiv,,women,
2020,social cohesion and sense of ownership,Kharkiv,,women,
2021,social cohesion and sense of ownership,Kharkiv,,women,
2022,social cohesion and sense of ownership,Kharkiv,,women,
2023,social cohesion and sense of ownership,Kharkiv,,women,
2017,tolerance and socially responsible citizenship,Donetsk,,,
2018,tolerance and socially responsible citizenship,Donetsk,,,
2019,tolerance and socially responsible citizenship,Donetsk,,,
2020,tolerance and socially responsible citizenship,Donetsk,,,
2021,tolerance and socially responsible citizenship,Donetsk,,,
2022,tolerance and socially responsible citizenship,Donetsk,,,
2023,tolerance and socially responsible citizenship,Donetsk,,,
2017,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2018,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2019,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2020,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2021,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2022,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2023,tolerance and socially responsible citizenship,Donetsk,18-35 years,,
2017,tolerance and socially responsible citizenship,Donetsk,36-60 years,,5.0
2018,tolerance and socially responsible citizenship,Donetsk,36-60 years,,
2019,tolerance and socially responsible citizenship,Donetsk,36-60 years,,
2020,tolerance and socially responsible citizenship,Donetsk,36-60 years,,
2021,tolerance and socially responsible citizenship,Donetsk,36-59 years,,
2022,tolerance and socially responsible citizenship,Donetsk,36-59 years,,
2023,tolerance and socially responsible citizenship,Donetsk,36-59 years,,
2017,tolerance and socially responsible citizenship,Donetsk,61 years and older,,4.8
2018,tolerance and socially responsible citizenship,Donetsk,61 years and older,,
2019,tolerance and socially responsible citizenship,Donetsk,61 years and older,,
2020,tolerance and socially responsible citizenship,Donetsk,61 years and older,,
2021,tolerance and socially responsible citizenship,Donetsk,60 years and older,,
2022,tolerance and socially responsible citizenship,Donetsk,60 years and older,,
2023,tolerance and socially responsible citizenship,Donetsk,60 years and older,,
2017,tolerance and socially responsible citizenship,Donetsk,,men,4.9
2018,tolerance and socially responsible citizenship,Donetsk,,men,
2019,tolerance and socially responsible citizenship,Donetsk,,men,
2020,tolerance and socially responsible citizenship,Donetsk,,men,
2021,tolerance and socially responsible citizenship,Donetsk,,men,
2022,tolerance and socially responsible citizenship,Donetsk,,men,
2023,tolerance and socially responsible citizenship,Donetsk,,men,
2017,tolerance and socially responsible citizenship,Donetsk,,women,5.0
2018,tolerance and socially responsible citizenship,Donetsk,,women,
2019,tolerance and socially responsible citizenship,Donetsk,,women,
2020,tolerance and socially responsible citizenship,Donetsk,,women,
2021,tolerance and socially responsible citizenship,Donetsk,,women,
2022,tolerance and socially responsible citizenship,Donetsk,,women,
2023,tolerance and socially responsible citizenship,Donetsk,,women,
2017,tolerance and socially responsible citizenship,Luhansk,,,
2018,tolerance and socially responsible citizenship,Luhansk,,,
2019,tolerance and socially responsible citizenship,Luhansk,,,
2020,tolerance and socially responsible citizenship,Luhansk,,,
2021,tolerance and socially responsible citizenship,Luhansk,,,
2022,tolerance and socially responsible citizenship,Luhansk,,,
2023,tolerance and socially responsible citizenship,Luhansk,,,
2017,tolerance and socially responsible citizenship,Luhansk,18-35 years,,4.9
2018,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2019,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2020,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2021,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2022,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2023,tolerance and socially responsible citizenship,Luhansk,18-35 years,,
2017,tolerance and socially responsible citizenship,Luhansk,36-60 years,,4.9
2018,tolerance and socially responsible citizenship,Luhansk,36-60 years,,
2019,tolerance and socially responsible citizenship,Luhansk,36-60 years,,
2020,tolerance and socially responsible citizenship,Luhansk,36-60 years,,
2021,tolerance and socially responsible citizenship,Luhansk,36-59 years,,
2022,tolerance and socially responsible citizenship,Luhansk,36-59 years,,
2023,tolerance and socially responsible citizenship,Luhansk,36-59 years,,
2017,tolerance and socially responsible citizenship,Luhansk,61 years and older,,4.6
2018,tolerance and socially responsible citizenship,Luhansk,61 years and older,,
2019,tolerance and socially responsible citizenship,Luhansk,61 years and older,,
2020,tolerance and socially responsible citizenship,Luhansk,61 years and older,,
2021,tolerance and socially responsible citizenship,Luhansk,60 years and older,,
2022,tolerance and socially responsible citizenship,Luhansk,60 years and older,,
2023,tolerance and socially responsible citizenship,Luhansk,60 years and older,,
2017,tolerance and socially responsible citizenship,Luhansk,,men,4.7
2018,tolerance and socially responsible citizenship,Luhansk,,men,
2019,tolerance and socially responsible citizenship,Luhansk,,men,
2020,tolerance and socially responsible citizenship,Luhansk,,men,
2021,tolerance and socially responsible citizenship,Luhansk,,men,
2022,tolerance and socially responsible citizenship,Luhansk,,men,
2023,tolerance and socially responsible citizenship,Luhansk,,men,
2017,tolerance and socially responsible citizenship,Luhansk,,women,4.9
2018,tolerance and socially responsible citizenship,Luhansk,,women,
2019,tolerance and socially responsible citizenship,Luhansk,,women,
2020,tolerance and socially responsible citizenship,Luhansk,,women,
2021,tolerance and socially responsible citizenship,Luhansk,,women,
2022,tolerance and socially responsible citizenship,Luhansk,,women,
2023,tolerance and socially responsible citizenship,Luhansk,,women,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,,,
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,,,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,,,
2020,tolerance and socially responsible citizenship,Dnipropetrovsk,,,
2021,tolerance and socially responsible citizenship,Dnipropetrovsk,,,
2022,tolerance and socially responsible citizenship,Dnipropetrovsk,,,
2023,tolerance and socially responsible citizenship,Dnipropetrovsk,,,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,4.8
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2020,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2021,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2022,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2023,tolerance and socially responsible citizenship,Dnipropetrovsk,18-35 years,,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,4.8
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,
2020,tolerance and socially responsible citizenship,Dnipropetrovsk,36-60 years,,
2021,tolerance and socially responsible citizenship,Dnipropetrovsk,36-59 years,,
2022,tolerance and socially responsible citizenship,Dnipropetrovsk,36-59 years,,
2023,tolerance and socially responsible citizenship,Dnipropetrovsk,36-59 years,,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,61 years and older,,4.7
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,61 years and older,,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,61 years and older,,
2020,tolerance and socially responsible citizenship,Dnipropetrovsk,61 years and older,,
2021,tolerance and socially responsible citizenship,Dnipropetrovsk,60 years and older,,
2022,tolerance and socially responsible citizenship,Dnipropetrovsk,60 years and older,,
2023,tolerance and socially responsible citizenship,Dnipropetrovsk,60 years and older,,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,,men,4.7
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,,men,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,,men,
2020,tolerance and socially responsible citizenship,Dnipropetrovsk,,men,
2021,tolerance and socially responsible citizenship,Dnipropetrovsk,,men,
2022,tolerance and socially responsible citizenship,Dnipropetrovsk,,men,
2023,tolerance and socially responsible citizenship,Dnipropetrovsk,,men,
2017,tolerance and socially responsible citizenship,Dnipropetrovsk,,women,4.8
2018,tolerance and socially responsible citizenship,Dnipropetrovsk,,women,
2019,tolerance and socially responsible citizenship,Dnipropetrovsk,,women,
2020,tolerance and socially responsible citizenship,Dnipropetrovsk,,women,
2021,tolerance and socially responsible citizenship,Dnipropetrovsk,,women,
2022,tolerance and socially responsible citizenship,Dnipropetrovsk,,women,
2023,tolerance and socially responsible citizenship,Dnipropetrovsk,,women,
2017,tolerance and socially responsible citizenship,Zaporizhzhya,,,
2018,tolerance and socially responsible citizenship,Zaporizhzhya,,,
2019,tolerance and socially responsible citizenship,Zaporizhzhya,,,
2020,tolerance and socially responsible citizenship,Zaporizhzhya,,,
2021,tolerance and socially responsible citizenship,Zaporizhzhya,,,
2022,tolerance and socially responsible citizenship,Zaporizhzhya,,,
2023,tolerance and socially responsible citizenship,Zaporizhzhya,,,
2017,tolerance and socially responsible citizenship,Zaporizhzhya,18-35 years,,4.9
2018,tolerance and socially responsible citizenship,Zaporizhzhya,18-35 years,,
2019,tolerance and socially responsible citizenship,Zaporizhzhya,18-35 years,,
2020,tolerance and socially responsible citizenship,Zaporizhzhya,18-35 years,,
2021,tolerance and socially responsible citizenship,Zaporizhzhya,18-35 years,,
2022,tolerance and socially responsible citizenship,Zaporizhzhya,18-35 years,,
2023,tolerance and socially responsible citizenship,Zaporizhzhya,18-35 years,,
2017,tolerance and socially responsible citizenship,Zaporizhzhya,36-60 years,,4.8
2018,tolerance and socially responsible citizenship,Zaporizhzhya,36-60 years,,
2019,tolerance and socially responsible citizenship,Zaporizhzhya,36-60 years,,
2020,tolerance and socially responsible citizenship,Zaporizhzhya,36-60 years,,
2021,tolerance and socially responsible citizenship,Zaporizhzhya,36-59 years,,
2022,tolerance and socially responsible citizenship,Zaporizhzhya,36-59 years,,
2023,tolerance and socially responsible citizenship,Zaporizhzhya,36-59 years,,
2017,tolerance and socially responsible citizenship,Zaporizhzhya,61 years and older,,4.8
2018,tolerance and socially responsible citizenship,Zaporizhzhya,61 years and older,,
2019,tolerance and socially responsible citizenship,Zaporizhzhya,61 years and older,,
2020,tolerance and socially responsible citizenship,Zaporizhzhya,61 years and older,,
2021,tolerance and socially responsible citizenship,Zaporizhzhya,60 years and older,,
2022,tolerance and socially responsible citizenship,Zaporizhzhya,60 years and older,,
2023,tolerance and socially responsible citizenship,Zaporizhzhya,60 years and older,,
2017,tolerance and socially responsible citizenship,Zaporizhzhya,,men,4.7
2018,tolerance and socially responsible citizenship,Zaporizhzhya,,men,
2019,tolerance and socially responsible citizenship,Zaporizhzhya,,men,
2020,tolerance and socially responsible citizenship,Zaporizhzhya,,men,
2021,tolerance and socially responsible citizenship,Zaporizhzhya,,men,
2022,tolerance and socially responsible citizenship,Zaporizhzhya,,men,
2023,tolerance and socially responsible citizenship,Zaporizhzhya,,men,
2017,tolerance and socially responsible citizenship,Zaporizhzhya,,women,5.0
2018,tolerance and socially responsible citizenship,Zaporizhzhya,,women,
2019,tolerance and socially responsible citizenship,Zaporizhzhya,,women,
2020,tolerance and socially responsible citizenship,Zaporizhzhya,,women,
2021,tolerance and socially responsible citizenship,Zaporizhzhya,,women,
2022,tolerance and socially responsible citizenship,Zaporizhzhya,,women,
2023,tolerance and socially responsible citizenship,Zaporizhzhya,,women,
2017,tolerance and socially responsible citizenship,Kharkiv,,,
2018,tolerance and socially responsible citizenship,Kharkiv,,,
2019,tolerance and socially responsible citizenship,Kharkiv,,,
2020,tolerance and socially responsible citizenship,Kharkiv,,,
2021,tolerance and socially responsible citizenship,Kharkiv,,,
2022,tolerance and socially responsible citizenship,Kharkiv,,,
2023,tolerance and socially responsible citizenship,Kharkiv,,,
2017,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,4.7
2018,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,
2019,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,
2020,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,
2021,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,
2022,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,
2023,tolerance and socially responsible citizenship,Kharkiv,18-35 years,,
2017,tolerance and socially responsible citizenship,Kharkiv,36-60 years,,4.8
2018,tolerance and socially responsible citizenship,Kharkiv,36-60 years,,
2019,tolerance and socially responsible citizenship,Kharkiv,36-60 years,,
2020,tolerance and socially responsible citizenship,Kharkiv,36-60 years,,
2021,tolerance and socially responsible citizenship,Kharkiv,36-59 years,,
2022,tolerance and socially responsible citizenship,Kharkiv,36-59 years,,
2023,tolerance and socially responsible citizenship,Kharkiv,36-59 years,,
2017,tolerance and socially responsible citizenship,Kharkiv,61 years and older,,4.7
2018,tolerance and socially responsible citizenship,Kharkiv,61 years and older,,
2019,tolerance and socially responsible citizenship,Kharkiv,61 years and older,,
2020,tolerance and socially responsible citizenship,Kharkiv,61 years and older,,
2021,tolerance and socially responsible citizenship,Kharkiv,60 years and older,,
2022,tolerance and socially responsible citizenship,Kharkiv,60 years and older,,
2023,tolerance and socially responsible citizenship,Kharkiv,60 years and older,,
2017,tolerance and socially responsible citizenship,Kharkiv,,men,4.6
2018,tolerance and socially responsible citizenship,Kharkiv,,men,
2019,tolerance and socially responsible citizenship,Kharkiv,,men,
2020,tolerance and socially responsible citizenship,Kharkiv,,men,
2021,tolerance and socially responsible citizenship,Kharkiv,,men,
2022,tolerance and socially responsible citizenship,Kharkiv,,men,
2023,tolerance and socially responsible citizenship,Kharkiv,,men,
2017,tolerance and socially responsible citizenship,Kharkiv,,women,4.9
2018,tolerance and socially responsible citizenship,Kharkiv,,women,
2019,tolerance and socially responsible citizenship,Kharkiv,,women,
2020,tolerance and socially responsible citizenship,Kharkiv,,women,
2021,tolerance and socially responsible citizenship,Kharkiv,,women,
2022,tolerance and socially responsible citizenship,Kharkiv,,women,
2023,tolerance and socially responsible citizenship,Kharkiv,,women,
2017,psycho-social adaptability,Donetsk,,,
2018,psycho-social adaptability,Donetsk,,,
2019,psycho-social adaptability,Donetsk,,,
2020,psycho-social adaptability,Donetsk,,,
2021,psycho-social adaptability,Donetsk,,,
2022,psycho-social adaptability,Donetsk,,,
2023,psycho-social adaptability,Donetsk,,,
2017,psycho-social adaptability,Donetsk,18-35 years,,
2018,psycho-social adaptability,Donetsk,18-35 years,,
2019,psycho-social adaptability,Donetsk,18-35 years,,
2020,psycho-social adaptability,Donetsk,18-35 years,,
2021,psycho-social adaptability,Donetsk,18-35 years,,
2022,psycho-social adaptability,Donetsk,18-35 years,,
2023,psycho-social adaptability,Donetsk,18-35 years,,
2017,psycho-social adaptability,Donetsk,36-60 years,,7.8
2018,psycho-social adaptability,Donetsk,36-60 years,,
2019,psycho-social adaptability,Donetsk,36-60 years,,
2020,psycho-social adaptability,Donetsk,36-60 years,,
2021,psycho-social adaptability,Donetsk,36-59 years,,
2022,psycho-social adaptability,Donetsk,36-59 years,,
2023,psycho-social adaptability,Donetsk,36-59 years,,
2017,psycho-social adaptability,Donetsk,61 years and older,,7.8
2018,psycho-social adaptability,Donetsk,61 years and older,,
2019,psycho-social adaptability,Donetsk,61 years and older,,
2020,psycho-social adaptability,Donetsk,61 years and older,,
2021,psycho-social adaptability,Donetsk,60 years and older,,
2022,psycho-social adaptability,Donetsk,60 years and older,,
2023,psycho-social adaptability,Donetsk,60 years and older,,
2017,psycho-social adaptability,Donetsk,,men,7.7
2018,psycho-social adaptability,Donetsk,,men,
2019,psycho-social adaptability,Donetsk,,men,
2020,psycho-social adaptability,Donetsk,,men,
2021,psycho-social adaptability,Donetsk,,men,
