Year,Освітній рівень,Тип населенного пункту,Стать,Value
2023,"1-й рівень (початковий, 0-3 бали)",,жінки,
2024,"1-й рівень (початковий, 0-3 бали)",,жінки,
2015,"1-й рівень (початковий, 0-3 бали)",,чоловіки,68.0
2016,"1-й рівень (початковий, 0-3 бали)",,чоловіки,70.0
2017,"1-й рівень (початковий, 0-3 бали)",,чоловіки,73.0
2018,"1-й рівень (початковий, 0-3 бали)",,чоловіки,71.0
2019,"1-й рівень (початковий, 0-3 бали)",,чоловіки,71.0
2020,"1-й рівень (початковий, 0-3 бали)",,чоловіки,69.0
2021,"1-й рівень (початковий, 0-3 бали)",,чоловіки,65.0
2022,"1-й рівень (початковий, 0-3 бали)",,чоловіки,
2023,"1-й рівень (початковий, 0-3 бали)",,чоловіки,
2024,"1-й рівень (початковий, 0-3 бали)",,чоловіки,
2015,"2-й рівень (середній, 4-6 балів)","селище, село",,35.0
2016,"2-й рівень (середній, 4-6 балів)","селище, село",,41.0
2017,"2-й рівень (середній, 4-6 балів)","селище, село",,41.0
2018,"2-й рівень (середній, 4-6 балів)","селище, село",,38.0
2019,"2-й рівень (середній, 4-6 балів)","селище, село",,35.0
2020,"2-й рівень (середній, 4-6 балів)","селище, село",,34.0
2021,"2-й рівень (середній, 4-6 балів)","селище, село",,29.0
2022,"2-й рівень (середній, 4-6 балів)","селище, село",,
2023,"2-й рівень (середній, 4-6 балів)","селище, село",,
2024,"2-й рівень (середній, 4-6 балів)","селище, село",,
2015,"2-й рівень (середній, 4-6 балів)",селище міського типу,,10.0
2016,"2-й рівень (середній, 4-6 балів)",селище міського типу,,11.0
2017,"2-й рівень (середній, 4-6 балів)",селище міського типу,,10.0
2018,"2-й рівень (середній, 4-6 балів)",селище міського типу,,11.0
2019,"2-й рівень (середній, 4-6 балів)",селище міського типу,,10.0
2020,"2-й рівень (середній, 4-6 балів)",селище міського типу,,11.0
2021,"2-й рівень (середній, 4-6 балів)",селище міського типу,,11.0
2022,"2-й рівень (середній, 4-6 балів)",селище міського типу,,
2023,"2-й рівень (середній, 4-6 балів)",селище міського типу,,
2024,"2-й рівень (середній, 4-6 балів)",селище міського типу,,
2015,"2-й рівень (середній, 4-6 балів)",місто,,54.0
2016,"2-й рівень (середній, 4-6 балів)",місто,,48.0
2017,"2-й рівень (середній, 4-6 балів)",місто,,48.0
2018,"2-й рівень (середній, 4-6 балів)",місто,,51.0
2019,"2-й рівень (середній, 4-6 балів)",місто,,54.0
2020,"2-й рівень (середній, 4-6 балів)",місто,,55.0
2021,"2-й рівень (середній, 4-6 балів)",місто,,60.0
2022,"2-й рівень (середній, 4-6 балів)",місто,,
2023,"2-й рівень (середній, 4-6 балів)",місто,,
2024,"2-й рівень (середній, 4-6 балів)",місто,,
2015,"2-й рівень (середній, 4-6 балів)",,жінки,48.0
2016,"2-й рівень (середній, 4-6 балів)",,жінки,46.0
2017,"2-й рівень (середній, 4-6 балів)",,жінки,43.0
2018,"2-й рівень (середній, 4-6 балів)",,жінки,44.0
2019,"2-й рівень (середній, 4-6 балів)",,жінки,45.0
2020,"2-й рівень (середній, 4-6 балів)",,жінки,44.0
2021,"2-й рівень (середній, 4-6 балів)",,жінки,46.0
2022,"2-й рівень (середній, 4-6 балів)",,жінки,
2023,"2-й рівень (середній, 4-6 балів)",,жінки,
2024,"2-й рівень (середній, 4-6 балів)",,жінки,
2015,"2-й рівень (середній, 4-6 балів)",,чоловіки,52.0
2016,"2-й рівень (середній, 4-6 балів)",,чоловіки,54.0
2017,"2-й рівень (середній, 4-6 балів)",,чоловіки,57.0
2018,"2-й рівень (середній, 4-6 балів)",,чоловіки,56.0
2019,"2-й рівень (середній, 4-6 балів)",,чоловіки,55.0
2020,"2-й рівень (середній, 4-6 балів)",,чоловіки,56.0
2021,"2-й рівень (середній, 4-6 балів)",,чоловіки,54.0
2022,"2-й рівень (середній, 4-6 балів)",,чоловіки,
2023,"2-й рівень (середній, 4-6 балів)",,чоловіки,
2024,"2-й рівень (середній, 4-6 балів)",,чоловіки,
2015,"3-й рівень (достатній, 7-9 балів)","селище, село",,19.0
2016,"3-й рівень (достатній, 7-9 балів)","селище, село",,24.0
2017,"3-й рівень (достатній, 7-9 балів)","селище, село",,22.0
2018,"3-й рівень (достатній, 7-9 балів)","селище, село",,20.0
2019,"3-й рівень (достатній, 7-9 балів)","селище, село",,19.0
2020,"3-й рівень (достатній, 7-9 балів)","селище, село",,20.0
2021,"3-й рівень (достатній, 7-9 балів)","селище, село",,18.0
2022,"3-й рівень (достатній, 7-9 балів)","селище, село",,
2023,"3-й рівень (достатній, 7-9 балів)","селище, село",,
2024,"3-й рівень (достатній, 7-9 балів)","селище, село",,
2015,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9.0
2016,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,10.0
2017,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9.0
2018,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9.0
2019,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9.0
2020,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9.0
2021,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,9.0
2022,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,
2023,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,
2024,"3-й рівень (достатній, 7-9 балів)",селище міського типу,,
2015,"3-й рівень (достатній, 7-9 балів)",місто,,71.0
2016,"3-й рівень (достатній, 7-9 балів)",місто,,67.0
2017,"3-й рівень (достатній, 7-9 балів)",місто,,69.0
2018,"3-й рівень (достатній, 7-9 балів)",місто,,71.0
2019,"3-й рівень (достатній, 7-9 балів)",місто,,72.0
2020,"3-й рівень (достатній, 7-9 балів)",місто,,71.0
2021,"3-й рівень (достатній, 7-9 балів)",місто,,73.0
2022,"3-й рівень (достатній, 7-9 балів)",місто,,
2023,"3-й рівень (достатній, 7-9 балів)",місто,,
2024,"3-й рівень (достатній, 7-9 балів)",місто,,
2015,"3-й рівень (достатній, 7-9 балів)",,жінки,60.0
2016,"3-й рівень (достатній, 7-9 балів)",,жінки,56.0
2017,"3-й рівень (достатній, 7-9 балів)",,жінки,56.0
2018,"3-й рівень (достатній, 7-9 балів)",,жінки,56.0
2019,"3-й рівень (достатній, 7-9 балів)",,жінки,58.0
2020,"3-й рівень (достатній, 7-9 балів)",,жінки,55.0
2021,"3-й рівень (достатній, 7-9 балів)",,жінки,57.0
2022,"3-й рівень (достатній, 7-9 балів)",,жінки,
2023,"3-й рівень (достатній, 7-9 балів)",,жінки,
2024,"3-й рівень (достатній, 7-9 балів)",,жінки,
2015,"3-й рівень (достатній, 7-9 балів)",,чоловіки,40.0
2016,"3-й рівень (достатній, 7-9 балів)",,чоловіки,44.0
2017,"3-й рівень (достатній, 7-9 балів)",,чоловіки,44.0
2018,"3-й рівень (достатній, 7-9 балів)",,чоловіки,44.0
2019,"3-й рівень (достатній, 7-9 балів)",,чоловіки,42.0
2020,"3-й рівень (достатній, 7-9 балів)",,чоловіки,45.0
2021,"3-й рівень (достатній, 7-9 балів)",,чоловіки,43.0
2022,"3-й рівень (достатній, 7-9 балів)",,чоловіки,
2023,"3-й рівень (достатній, 7-9 балів)",,чоловіки,
2024,"3-й рівень (достатній, 7-9 балів)",,чоловіки,
2015,"4-й рівень (високий, 10-12 балів)","селище, село",,10.0
2016,"4-й рівень (високий, 10-12 балів)","селище, село",,13.0
2017,"4-й рівень (високий, 10-12 балів)","селище, село",,12.0
2018,"4-й рівень (високий, 10-12 балів)","селище, село",,11.0
2019,"4-й рівень (високий, 10-12 балів)","селище, село",,10.0
2020,"4-й рівень (високий, 10-12 балів)","селище, село",,12.0
2021,"4-й рівень (високий, 10-12 балів)","селище, село",,10.0
2022,"4-й рівень (високий, 10-12 балів)","селище, село",,
2023,"4-й рівень (високий, 10-12 балів)","селище, село",,
2024,"4-й рівень (високий, 10-12 балів)","селище, село",,
2015,"4-й рівень (високий, 10-12 балів)",селище міського типу,,8.0
2016,"4-й рівень (високий, 10-12 балів)",селище міського типу,,7.0
2017,"4-й рівень (високий, 10-12 балів)",селище міського типу,,8.0
2018,"4-й рівень (високий, 10-12 балів)",селище міського типу,,8.0
2019,"4-й рівень (високий, 10-12 балів)",селище міського типу,,8.0
2020,"4-й рівень (високий, 10-12 балів)",селище міського типу,,7.0
2021,"4-й рівень (високий, 10-12 балів)",селище міського типу,,7.0
2022,"4-й рівень (високий, 10-12 балів)",селище міського типу,,
2023,"4-й рівень (високий, 10-12 балів)",селище міського типу,,
2024,"4-й рівень (високий, 10-12 балів)",селище міського типу,,
2015,"4-й рівень (високий, 10-12 балів)",місто,,82.0
2016,"4-й рівень (високий, 10-12 балів)",місто,,80.0
2017,"4-й рівень (високий, 10-12 балів)",місто,,81.0
2018,"4-й рівень (високий, 10-12 балів)",місто,,81.0
2019,"4-й рівень (високий, 10-12 балів)",місто,,82.0
2020,"4-й рівень (високий, 10-12 балів)",місто,,81.0
2021,"4-й рівень (високий, 10-12 балів)",місто,,82.0
2022,"4-й рівень (високий, 10-12 балів)",місто,,
2023,"4-й рівень (високий, 10-12 балів)",місто,,
2024,"4-й рівень (високий, 10-12 балів)",місто,,
2015,"4-й рівень (високий, 10-12 балів)",,жінки,72.0
2016,"4-й рівень (високий, 10-12 балів)",,жінки,71.0
2017,"4-й рівень (високий, 10-12 балів)",,жінки,71.0
2018,"4-й рівень (високий, 10-12 балів)",,жінки,71.0
2019,"4-й рівень (високий, 10-12 балів)",,жінки,71.0
2020,"4-й рівень (високий, 10-12 балів)",,жінки,69.0
2021,"4-й рівень (високий, 10-12 балів)",,жінки,69.0
2022,"4-й рівень (високий, 10-12 балів)",,жінки,
2023,"4-й рівень (високий, 10-12 балів)",,жінки,
2024,"4-й рівень (високий, 10-12 балів)",,жінки,
2015,"4-й рівень (високий, 10-12 балів)",,чоловіки,28.0
2016,"4-й рівень (високий, 10-12 балів)",,чоловіки,29.0
2017,"4-й рівень (високий, 10-12 балів)",,чоловіки,29.0
2018,"4-й рівень (високий, 10-12 балів)",,чоловіки,29.0
2019,"4-й рівень (високий, 10-12 балів)",,чоловіки,29.0
2020,"4-й рівень (високий, 10-12 балів)",,чоловіки,31.0
2021,"4-й рівень (високий, 10-12 балів)",,чоловіки,31.0
2022,"4-й рівень (високий, 10-12 балів)",,чоловіки,
2023,"4-й рівень (високий, 10-12 балів)",,чоловіки,
2024,"4-й рівень (високий, 10-12 балів)",,чоловіки,
