Year,Article,Group,Unit,Value
2015,3_art_152,1_all,1_vict_per_100,0.72
2016,3_art_152,1_all,1_vict_per_100,0.77
2017,3_art_152,1_all,1_vict_per_100,0.55
2018,3_art_152,1_all,1_vict_per_100,0.47
2019,3_art_152,1_all,1_vict_per_100,0.81
2020,3_art_152,1_all,1_vict_per_100,0.93
2021,3_art_152,1_all,1_vict_per_100,0.95
2022,3_art_152,1_all,1_vict_per_100,0.57
2023,3_art_152,1_all,1_vict_per_100,1.08
2015,3_art_152,1_all,2_vict_all,306.0
2016,3_art_152,1_all,2_vict_all,328.0
2017,3_art_152,1_all,2_vict_all,233.0
2018,3_art_152,1_all,2_vict_all,197.0
2019,3_art_152,1_all,2_vict_all,341.0
2020,3_art_152,1_all,2_vict_all,388.0
2021,3_art_152,1_all,2_vict_all,391.0
2022,3_art_152,1_all,2_vict_all,236.0
2023,3_art_152,1_all,2_vict_all,443.0
2015,3_art_152,2_females,2_vict_all,278.0
2016,3_art_152,2_females,2_vict_all,298.0
2017,3_art_152,2_females,2_vict_all,208.0
2018,3_art_152,2_females,2_vict_all,170.0
2019,3_art_152,2_females,2_vict_all,276.0
2020,3_art_152,2_females,2_vict_all,263.0
2021,3_art_152,2_females,2_vict_all,234.0
2022,3_art_152,2_females,2_vict_all,120.0
2023,3_art_152,2_females,2_vict_all,335.0
2015,3_art_152,3_adolescents,2_vict_all,57.0
2016,3_art_152,3_adolescents,2_vict_all,55.0
2017,3_art_152,3_adolescents,2_vict_all,50.0
2018,3_art_152,3_adolescents,2_vict_all,39.0
2019,3_art_152,3_adolescents,2_vict_all,56.0
2020,3_art_152,3_adolescents,2_vict_all,82.0
2021,3_art_152,3_adolescents,2_vict_all,136.0
2022,3_art_152,3_adolescents,2_vict_all,61.0
2023,3_art_152,3_adolescents,2_vict_all,207.0
2015,3_art_152,4_young,2_vict_all,27.0
2016,3_art_152,4_young,2_vict_all,32.0
2017,3_art_152,4_young,2_vict_all,39.0
2018,3_art_152,4_young,2_vict_all,28.0
2019,3_art_152,4_young,2_vict_all,92.0
2020,3_art_152,4_young,2_vict_all,151.0
2021,3_art_152,4_young,2_vict_all,148.0
2022,3_art_152,4_young,2_vict_all,97.0
2023,3_art_152,4_young,2_vict_all,172.0
2015,4_art_121,1_all,1_vict_per_100,5.58
2016,4_art_121,1_all,1_vict_per_100,5.1
2017,4_art_121,1_all,1_vict_per_100,4.7
2018,4_art_121,1_all,1_vict_per_100,4.86
2019,4_art_121,1_all,1_vict_per_100,4.48
2020,4_art_121,1_all,1_vict_per_100,3.88
2021,4_art_121,1_all,1_vict_per_100,3.67
2022,4_art_121,1_all,1_vict_per_100,3.51
2023,4_art_121,1_all,1_vict_per_100,3.28
2015,4_art_121,1_all,2_vict_all,2385.0
2016,4_art_121,1_all,2_vict_all,2170.0
2017,4_art_121,1_all,2_vict_all,1991.0
2018,4_art_121,1_all,2_vict_all,2047.0
2019,4_art_121,1_all,2_vict_all,1878.0
2020,4_art_121,1_all,2_vict_all,1614.0
2021,4_art_121,1_all,2_vict_all,1512.0
2022,4_art_121,1_all,2_vict_all,1443.0
2023,4_art_121,1_all,2_vict_all,1352.0
2015,4_art_121,2_females,2_vict_all,425.0
2016,4_art_121,2_females,2_vict_all,387.0
2017,4_art_121,2_females,2_vict_all,340.0
2018,4_art_121,2_females,2_vict_all,362.0
2019,4_art_121,2_females,2_vict_all,319.0
2020,4_art_121,2_females,2_vict_all,234.0
2021,4_art_121,2_females,2_vict_all,232.0
2022,4_art_121,2_females,2_vict_all,199.0
2023,4_art_121,2_females,2_vict_all,222.0
2015,4_art_121,3_adolescents,2_vict_all,30.0
2016,4_art_121,3_adolescents,2_vict_all,28.0
2017,4_art_121,3_adolescents,2_vict_all,23.0
2018,4_art_121,3_adolescents,2_vict_all,34.0
2019,4_art_121,3_adolescents,2_vict_all,16.0
2020,4_art_121,3_adolescents,2_vict_all,17.0
2021,4_art_121,3_adolescents,2_vict_all,21.0
2022,4_art_121,3_adolescents,2_vict_all,16.0
2023,4_art_121,3_adolescents,2_vict_all,21.0
2015,4_art_121,4_young,2_vict_all,11.0
2016,4_art_121,4_young,2_vict_all,18.0
2017,4_art_121,4_young,2_vict_all,9.0
2018,4_art_121,4_young,2_vict_all,6.0
2019,4_art_121,4_young,2_vict_all,13.0
2020,4_art_121,4_young,2_vict_all,9.0
2021,4_art_121,4_young,2_vict_all,4.0
2022,4_art_121,4_young,2_vict_all,6.0
2023,4_art_121,4_young,2_vict_all,3.0
2015,5_art_149,1_all,1_vict_per_100,0.26
2016,5_art_149,1_all,1_vict_per_100,0.2
2017,5_art_149,1_all,1_vict_per_100,0.73
2018,5_art_149,1_all,1_vict_per_100,0.55
2019,5_art_149,1_all,1_vict_per_100,0.63
2020,5_art_149,1_all,1_vict_per_100,0.37
2021,5_art_149,1_all,1_vict_per_100,0.39
2022,5_art_149,1_all,1_vict_per_100,0.16
2023,5_art_149,1_all,1_vict_per_100,0.22
2015,5_art_149,1_all,2_vict_all,113.0
2016,5_art_149,1_all,2_vict_all,86.0
2017,5_art_149,1_all,2_vict_all,309.0
2018,5_art_149,1_all,2_vict_all,231.0
2019,5_art_149,1_all,2_vict_all,262.0
2020,5_art_149,1_all,2_vict_all,152.0
2021,5_art_149,1_all,2_vict_all,163.0
2022,5_art_149,1_all,2_vict_all,66.0
2023,5_art_149,1_all,2_vict_all,91.0
2015,5_art_149,2_females,2_vict_all,78.0
2016,5_art_149,2_females,2_vict_all,66.0
2017,5_art_149,2_females,2_vict_all,130.0
2018,5_art_149,2_females,2_vict_all,127.0
2019,5_art_149,2_females,2_vict_all,107.0
2020,5_art_149,2_females,2_vict_all,64.0
2021,5_art_149,2_females,2_vict_all,49.0
2022,5_art_149,2_females,2_vict_all,36.0
2023,5_art_149,2_females,2_vict_all,30.0
2015,5_art_149,3_adolescents,2_vict_all,6.0
2016,5_art_149,3_adolescents,2_vict_all,2.0
2017,5_art_149,3_adolescents,2_vict_all,8.0
2018,5_art_149,3_adolescents,2_vict_all,11.0
2019,5_art_149,3_adolescents,2_vict_all,8.0
2020,5_art_149,3_adolescents,2_vict_all,
2021,5_art_149,3_adolescents,2_vict_all,9.0
2022,5_art_149,3_adolescents,2_vict_all,5.0
2023,5_art_149,3_adolescents,2_vict_all,6.0
2015,5_art_149,4_young,2_vict_all,1.0
2016,5_art_149,4_young,2_vict_all,2.0
2017,5_art_149,4_young,2_vict_all,11.0
2018,5_art_149,4_young,2_vict_all,12.0
2019,5_art_149,4_young,2_vict_all,2.0
2020,5_art_149,4_young,2_vict_all,1.0
2021,5_art_149,4_young,2_vict_all,17.0
2022,5_art_149,4_young,2_vict_all,7.0
2023,5_art_149,4_young,2_vict_all,10.0
