Year,Type of residence,Region,Value
2016,,Kyiv,
2017,,Kyiv,
2018,,Kyiv,
2019,,Kyiv,69.0
2020,,Kyiv,76.0
2021,,Kyiv,89.0
2022,,Kyiv,93.0
2023,,Kyiv,101.0
2015,,Kirovohrad,
2016,,Kirovohrad,
2017,,Kirovohrad,
2018,,Kirovohrad,
2019,,Kirovohrad,30.0
2020,,Kirovohrad,33.0
2021,,Kirovohrad,39.0
2022,,Kirovohrad,36.0
2023,,Kirovohrad,44.0
2015,,Luhansk,
2016,,Luhansk,
2017,,Luhansk,
2018,,Luhansk,
2019,,Luhansk,26.0
2020,,Luhansk,32.0
2021,,Luhansk,29.0
2022,,Luhansk,
2023,,Luhansk,
2015,,Lviv,
2016,,Lviv,
2017,,Lviv,
2018,,Lviv,
2019,,Lviv,54.0
2020,,Lviv,64.0
2021,,Lviv,70.0
2022,,Lviv,73.0
2023,,Lviv,77.0
2015,,Mykolayiv,
2016,,Mykolayiv,
2017,,Mykolayiv,
2018,,Mykolayiv,
2019,,Mykolayiv,42.0
2020,,Mykolayiv,46.0
2021,,Mykolayiv,53.0
2022,,Mykolayiv,51.0
2023,,Mykolayiv,50.0
2015,,Odesa,
2016,,Odesa,
2017,,Odesa,
2018,,Odesa,
2019,,Odesa,61.0
2020,,Odesa,71.0
2021,,Odesa,66.0
2022,,Odesa,62.0
2023,,Odesa,63.0
2015,,Poltava,
2016,,Poltava,
2017,,Poltava,
2018,,Poltava,
2019,,Poltava,36.0
2020,,Poltava,43.0
2021,,Poltava,48.0
2022,,Poltava,56.0
2023,,Poltava,58.0
2015,,Rivne,
2016,,Rivne,
2017,,Rivne,
2018,,Rivne,
2019,,Rivne,48.0
2020,,Rivne,56.0
2021,,Rivne,56.0
2022,,Rivne,60.0
2023,,Rivne,65.0
2015,,Sumy,
2016,,Sumy,
2017,,Sumy,
2018,,Sumy,
2019,,Sumy,47.0
2020,,Sumy,51.0
2021,,Sumy,53.0
2022,,Sumy,53.0
2023,,Sumy,57.0
2015,,Ternopil,
2016,,Ternopil,
2017,,Ternopil,
2018,,Ternopil,
2019,,Ternopil,47.0
2020,,Ternopil,53.0
2021,,Ternopil,55.0
2022,,Ternopil,56.0
2023,,Ternopil,60.0
2015,,Kharkiv,
2016,,Kharkiv,
2017,,Kharkiv,
2018,,Kharkiv,
2019,,Kharkiv,39.0
2020,,Kharkiv,41.0
2021,,Kharkiv,40.0
2022,,Kharkiv,31.0
2023,,Kharkiv,47.0
2015,,Kherson,
2016,,Kherson,
2017,,Kherson,
2018,,Kherson,
2019,,Kherson,45.0
2020,,Kherson,54.0
2021,,Kherson,58.0
2022,,Kherson,
2023,,Kherson,
2015,,Khmelnytskiy,
2016,,Khmelnytskiy,
2017,,Khmelnytskiy,
2018,,Khmelnytskiy,
2019,,Khmelnytskiy,47.0
2020,,Khmelnytskiy,52.0
2021,,Khmelnytskiy,57.0
2022,,Khmelnytskiy,57.0
2023,,Khmelnytskiy,62.0
2015,,Cherkasy,
2016,,Cherkasy,
2017,,Cherkasy,
2018,,Cherkasy,
2019,,Cherkasy,33.0
2020,,Cherkasy,41.0
2021,,Cherkasy,41.0
2022,,Cherkasy,40.0
2023,,Cherkasy,34.0
2015,,Chernivtsi,
2016,,Chernivtsi,
2017,,Chernivtsi,
2018,,Chernivtsi,
2019,,Chernivtsi,32.0
2020,,Chernivtsi,29.0
2021,,Chernivtsi,37.0
2022,,Chernivtsi,32.0
2023,,Chernivtsi,37.0
2015,,Chernihiv,
2016,,Chernihiv,
2017,,Chernihiv,
2018,,Chernihiv,
2019,,Chernihiv,30.0
2020,,Chernihiv,38.0
2021,,Chernihiv,44.0
2022,,Chernihiv,43.0
2023,,Chernihiv,47.0
2015,,the city of Kyiv,
2016,,the city of Kyiv,
2017,,the city of Kyiv,
2018,,the city of Kyiv,
2019,,the city of Kyiv,78.0
2020,,the city of Kyiv,86.0
2021,,the city of Kyiv,86.0
2022,,the city of Kyiv,84.0
2023,,the city of Kyiv,92.0
2015,urban,,
2016,urban,,
2017,urban,,
2018,urban,,
2019,urban,,58.0
2020,urban,,61.0
2021,urban,,61.0
2022,urban,,61.0
2023,urban,,66.0
2015,urban,Vinnytsya,
2016,urban,Vinnytsya,
2017,urban,Vinnytsya,
2018,urban,Vinnytsya,
2019,urban,Vinnytsya,65.0
2020,urban,Vinnytsya,66.0
2021,urban,Vinnytsya,60.0
2022,urban,Vinnytsya,63.0
2023,urban,Vinnytsya,65.0
2015,urban,Volyn,
2016,urban,Volyn,
2017,urban,Volyn,
2018,urban,Volyn,
2019,urban,Volyn,59.0
2020,urban,Volyn,61.0
2021,urban,Volyn,60.0
2022,urban,Volyn,55.0
2023,urban,Volyn,60.0
2015,urban,Dnipropetrovsk,
2016,urban,Dnipropetrovsk,
2017,urban,Dnipropetrovsk,
2018,urban,Dnipropetrovsk,
2019,urban,Dnipropetrovsk,52.0
2020,urban,Dnipropetrovsk,54.0
2021,urban,Dnipropetrovsk,58.0
2022,urban,Dnipropetrovsk,61.0
2023,urban,Dnipropetrovsk,63.0
2015,urban,Donetsk,
2016,urban,Donetsk,
2017,urban,Donetsk,
2018,urban,Donetsk,
2019,urban,Donetsk,33.0
2020,urban,Donetsk,39.0
2021,urban,Donetsk,39.0
2022,urban,Donetsk,
2023,urban,Donetsk,
2015,urban,Zhytomyr,
2016,urban,Zhytomyr,
2017,urban,Zhytomyr,
2018,urban,Zhytomyr,
2019,urban,Zhytomyr,47.0
2020,urban,Zhytomyr,52.0
2021,urban,Zhytomyr,57.0
2022,urban,Zhytomyr,57.0
2023,urban,Zhytomyr,59.0
2015,urban,Zakarpattya,
2016,urban,Zakarpattya,
2017,urban,Zakarpattya,
2018,urban,Zakarpattya,
2019,urban,Zakarpattya,52.0
2020,urban,Zakarpattya,51.0
2021,urban,Zakarpattya,49.0
2022,urban,Zakarpattya,59.0
2023,urban,Zakarpattya,56.0
2015,urban,Zaporizhzhya,
2016,urban,Zaporizhzhya,
2017,urban,Zaporizhzhya,
2018,urban,Zaporizhzhya,
2019,urban,Zaporizhzhya,59.0
2020,urban,Zaporizhzhya,65.0
2021,urban,Zaporizhzhya,64.0
2022,urban,Zaporizhzhya,
2023,urban,Zaporizhzhya,
2015,urban,Ivano-Frankivsk,
2016,urban,Ivano-Frankivsk,
2017,urban,Ivano-Frankivsk,
2018,urban,Ivano-Frankivsk,
2019,urban,Ivano-Frankivsk,68.0
2020,urban,Ivano-Frankivsk,76.0
2021,urban,Ivano-Frankivsk,70.0
2022,urban,Ivano-Frankivsk,77.0
2023,urban,Ivano-Frankivsk,80.0
2015,urban,Kyiv,
2016,urban,Kyiv,
2017,urban,Kyiv,
2018,urban,Kyiv,
2019,urban,Kyiv,76.0
2020,urban,Kyiv,77.0
2021,urban,Kyiv,76.0
2022,urban,Kyiv,80.0
2023,urban,Kyiv,84.0
2015,urban,Kirovohrad,
2016,urban,Kirovohrad,
2017,urban,Kirovohrad,
2018,urban,Kirovohrad,
2019,urban,Kirovohrad,41.0
2020,urban,Kirovohrad,44.0
2021,urban,Kirovohrad,45.0
2022,urban,Kirovohrad,41.0
2023,urban,Kirovohrad,49.0
2015,urban,Luhansk,
2016,urban,Luhansk,
2017,urban,Luhansk,
2018,urban,Luhansk,
2019,urban,Luhansk,30.0
2020,urban,Luhansk,36.0
2021,urban,Luhansk,28.0
2022,urban,Luhansk,
2023,urban,Luhansk,
2015,urban,Lviv,
2016,urban,Lviv,
2017,urban,Lviv,
2018,urban,Lviv,
2019,urban,Lviv,67.0
2020,urban,Lviv,73.0
2021,urban,Lviv,77.0
2022,urban,Lviv,80.0
2023,urban,Lviv,84.0
2015,urban,Mykolayiv,
2016,urban,Mykolayiv,
2017,urban,Mykolayiv,
2018,urban,Mykolayiv,
2019,urban,Mykolayiv,55.0
2020,urban,Mykolayiv,55.0
2021,urban,Mykolayiv,59.0
2022,urban,Mykolayiv,56.0
2023,urban,Mykolayiv,54.0
2015,urban,Odesa,
2016,urban,Odesa,
2017,urban,Odesa,
2018,urban,Odesa,
2019,urban,Odesa,80.0
2020,urban,Odesa,89.0
2021,urban,Odesa,79.0
2022,urban,Odesa,72.0
2023,urban,Odesa,71.0
2015,urban,Poltava,
2016,urban,Poltava,
2017,urban,Poltava,
2018,urban,Poltava,
2019,urban,Poltava,51.0
2020,urban,Poltava,50.0
2021,urban,Poltava,56.0
2022,urban,Poltava,63.0
2023,urban,Poltava,66.0
2015,urban,Rivne,
2016,urban,Rivne,
2017,urban,Rivne,
2018,urban,Rivne,
2019,urban,Rivne,71.0
2020,urban,Rivne,77.0
2021,urban,Rivne,70.0
2022,urban,Rivne,70.0
2023,urban,Rivne,73.0
2015,urban,Sumy,
2016,urban,Sumy,
2017,urban,Sumy,
2018,urban,Sumy,
2019,urban,Sumy,64.0
2020,urban,Sumy,65.0
2021,urban,Sumy,63.0
2022,urban,Sumy,60.0
2023,urban,Sumy,63.0
2015,urban,Ternopil,
2016,urban,Ternopil,
2017,urban,Ternopil,
2018,urban,Ternopil,
2019,urban,Ternopil,55.0
2020,urban,Ternopil,57.0
2021,urban,Ternopil,82.0
2022,urban,Ternopil,59.0
2023,urban,Ternopil,63.0
2015,urban,Kharkiv,
2016,urban,Kharkiv,
2017,urban,Kharkiv,
2018,urban,Kharkiv,
2019,urban,Kharkiv,45.0
2020,urban,Kharkiv,44.0
2021,urban,Kharkiv,39.0
2022,urban,Kharkiv,31.0
2023,urban,Kharkiv,48.0
2015,urban,Kherson,
2016,urban,Kherson,
2017,urban,Kherson,
2018,urban,Kherson,
2019,urban,Kherson,60.0
2020,urban,Kherson,60.0
2021,urban,Kherson,57.0
2022,urban,Kherson,
2023,urban,Kherson,
2015,urban,Khmelnytskiy,
2016,urban,Khmelnytskiy,
2017,urban,Khmelnytskiy,
2018,urban,Khmelnytskiy,
2019,urban,Khmelnytskiy,76.0
2020,urban,Khmelnytskiy,77.0
2021,urban,Khmelnytskiy,79.0
2022,urban,Khmelnytskiy,81.0
2023,urban,Khmelnytskiy,85.0
2015,urban,Cherkasy,
2016,urban,Cherkasy,
2017,urban,Cherkasy,
2018,urban,Cherkasy,
2019,urban,Cherkasy,51.0
2020,urban,Cherkasy,52.0
2021,urban,Cherkasy,46.0
2022,urban,Cherkasy,42.0
2023,urban,Cherkasy,33.0
2015,urban,Chernivtsi,
2016,urban,Chernivtsi,
2017,urban,Chernivtsi,
2018,urban,Chernivtsi,
2019,urban,Chernivtsi,54.0
2020,urban,Chernivtsi,42.0
2021,urban,Chernivtsi,62.0
2022,urban,Chernivtsi,51.0
2023,urban,Chernivtsi,53.0
2015,urban,Chernihiv,
2016,urban,Chernihiv,
2017,urban,Chernihiv,
2018,urban,Chernihiv,
2019,urban,Chernihiv,45.0
2020,urban,Chernihiv,54.0
2021,urban,Chernihiv,54.0
2022,urban,Chernihiv,54.0
2023,urban,Chernihiv,55.0
2015,urban,the city of Kyiv,
2016,urban,the city of Kyiv,
2017,urban,the city of Kyiv,
2018,urban,the city of Kyiv,
2019,urban,the city of Kyiv,78.0
2020,urban,the city of Kyiv,86.0
2021,urban,the city of Kyiv,86.0
2022,urban,the city of Kyiv,84.0
2023,urban,the city of Kyiv,92.0
2015,rural,,
2016,rural,,
2017,rural,,
2018,rural,,
2019,rural,,22.0
2020,rural,,34.0
2021,rural,,42.0
2022,rural,,47.0
2023,rural,,54.0
2015,rural,Vinnytsya,
2016,rural,Vinnytsya,
2017,rural,Vinnytsya,
2018,rural,Vinnytsya,
2019,rural,Vinnytsya,13.0
2020,rural,Vinnytsya,21.0
2021,rural,Vinnytsya,30.0
2022,rural,Vinnytsya,33.0
2023,rural,Vinnytsya,45.0
2015,rural,Volyn,
2016,rural,Volyn,
2017,rural,Volyn,
2018,rural,Volyn,
2019,rural,Volyn,41.0
2020,rural,Volyn,46.0
2021,rural,Volyn,66.0
2022,rural,Volyn,64.0
2023,rural,Volyn,70.0
2015,rural,Dnipropetrovsk,
2016,rural,Dnipropetrovsk,
2017,rural,Dnipropetrovsk,
2018,rural,Dnipropetrovsk,
2019,rural,Dnipropetrovsk,26.0
2020,rural,Dnipropetrovsk,39.0
2021,rural,Dnipropetrovsk,36.0
2022,rural,Dnipropetrovsk,39.0
2023,rural,Dnipropetrovsk,41.0
2015,rural,Donetsk,
2016,rural,Donetsk,
2017,rural,Donetsk,
2018,rural,Donetsk,
2019,rural,Donetsk,17.0
2020,rural,Donetsk,34.0
2021,rural,Donetsk,37.0
2022,rural,Donetsk,
2023,rural,Donetsk,
2015,rural,Zhytomyr,
2016,rural,Zhytomyr,
2017,rural,Zhytomyr,
2018,rural,Zhytomyr,
2019,rural,Zhytomyr,13.0
2020,rural,Zhytomyr,26.0
2021,rural,Zhytomyr,37.0
2022,rural,Zhytomyr,45.0
2023,rural,Zhytomyr,52.0
2015,rural,Zakarpattya,
2016,rural,Zakarpattya,
2017,rural,Zakarpattya,
2018,rural,Zakarpattya,
2019,rural,Zakarpattya,24.0
2020,rural,Zakarpattya,28.0
2021,rural,Zakarpattya,36.0
2022,rural,Zakarpattya,37.0
2023,rural,Zakarpattya,40.0
2015,rural,Zaporizhzhya,
2016,rural,Zaporizhzhya,
2017,rural,Zaporizhzhya,
2018,rural,Zaporizhzhya,
2019,rural,Zaporizhzhya,32.0
2020,rural,Zaporizhzhya,38.0
2021,rural,Zaporizhzhya,48.0
2022,rural,Zaporizhzhya,
2023,rural,Zaporizhzhya,
2015,rural,Ivano-Frankivsk,
2016,rural,Ivano-Frankivsk,
2017,rural,Ivano-Frankivsk,
2018,rural,Ivano-Frankivsk,
2019,rural,Ivano-Frankivsk,21.0
2020,rural,Ivano-Frankivsk,34.0
2021,rural,Ivano-Frankivsk,29.0
2022,rural,Ivano-Frankivsk,41.0
2023,rural,Ivano-Frankivsk,54.0
2015,rural,Kyiv,
2016,rural,Kyiv,
2017,rural,Kyiv,
2018,rural,Kyiv,
2019,rural,Kyiv,60.0
2020,rural,Kyiv,74.0
2021,rural,Kyiv,92.0
2022,rural,Kyiv,103.0
2023,rural,Kyiv,110.0
2015,rural,Kirovohrad,
2016,rural,Kirovohrad,
2017,rural,Kirovohrad,
2018,rural,Kirovohrad,
2019,rural,Kirovohrad,10.0
2020,rural,Kirovohrad,16.0
2021,rural,Kirovohrad,28.0
2022,rural,Kirovohrad,26.0
2023,rural,Kirovohrad,36.0
2015,rural,Luhansk,
2016,rural,Luhansk,
2017,rural,Luhansk,
2018,rural,Luhansk,
2019,rural,Luhansk,16.0
2020,rural,Luhansk,22.0
2021,rural,Luhansk,31.0
2022,rural,Luhansk,
2023,rural,Luhansk,
2015,rural,Lviv,
2016,rural,Lviv,
2017,rural,Lviv,
2018,rural,Lviv,
2019,rural,Lviv,32.0
2020,rural,Lviv,49.0
2021,rural,Lviv,57.0
2022,rural,Lviv,61.0
2023,rural,Lviv,64.0
2015,rural,Mykolayiv,
2016,rural,Mykolayiv,
2017,rural,Mykolayiv,
2018,rural,Mykolayiv,
2019,rural,Mykolayiv,15.0
2020,rural,Mykolayiv,27.0
2021,rural,Mykolayiv,39.0
2022,rural,Mykolayiv,40.0
2023,rural,Mykolayiv,42.0
2015,rural,Odesa,
2016,rural,Odesa,
2017,rural,Odesa,
2018,rural,Odesa,
2019,rural,Odesa,19.0
2020,rural,Odesa,30.0
2021,rural,Odesa,37.0
2022,rural,Odesa,40.0
2023,rural,Odesa,47.0
2015,rural,Poltava,
2016,rural,Poltava,
2017,rural,Poltava,
2018,rural,Poltava,
2019,rural,Poltava,13.0
2020,rural,Poltava,31.0
2021,rural,Poltava,37.0
2022,rural,Poltava,46.0
2023,rural,Poltava,45.0
2015,rural,Rivne,
2016,rural,Rivne,
2017,rural,Rivne,
2018,rural,Rivne,
2019,rural,Rivne,25.0
2020,rural,Rivne,36.0
2021,rural,Rivne,43.0
2022,rural,Rivne,51.0
2023,rural,Rivne,57.0
2015,rural,Sumy,
2016,rural,Sumy,
2017,rural,Sumy,
2018,rural,Sumy,
2019,rural,Sumy,12.0
2020,rural,Sumy,23.0
2021,rural,Sumy,31.0
2022,rural,Sumy,37.0
2023,rural,Sumy,42.0
2015,rural,Ternopil,
2016,rural,Ternopil,
2017,rural,Ternopil,
2018,rural,Ternopil,
2019,rural,Ternopil,41.0
2020,rural,Ternopil,49.0
2021,rural,Ternopil,30.0
2022,rural,Ternopil,54.0
2023,rural,Ternopil,58.0
2015,rural,Kharkiv,
2016,rural,Kharkiv,
2017,rural,Kharkiv,
2018,rural,Kharkiv,
2019,rural,Kharkiv,15.0
2020,rural,Kharkiv,25.0
2021,rural,Kharkiv,43.0
2022,rural,Kharkiv,32.0
2023,rural,Kharkiv,40.0
2015,rural,Kherson,
2016,rural,Kherson,
2017,rural,Kherson,
2018,rural,Kherson,
2019,rural,Kherson,21.0
2020,rural,Kherson,44.0
2021,rural,Kherson,61.0
2022,rural,Kherson,
2023,rural,Kherson,
2015,rural,Khmelnytskiy,
2016,rural,Khmelnytskiy,
2017,rural,Khmelnytskiy,
2018,rural,Khmelnytskiy,
2019,rural,Khmelnytskiy,14.0
2020,rural,Khmelnytskiy,24.0
2021,rural,Khmelnytskiy,31.0
2022,rural,Khmelnytskiy,29.0
2023,rural,Khmelnytskiy,36.0
2015,rural,Cherkasy,
2016,rural,Cherkasy,
2017,rural,Cherkasy,
2018,rural,Cherkasy,
2019,rural,Cherkasy,12.0
2020,rural,Cherkasy,28.0
2021,rural,Cherkasy,35.0
2022,rural,Cherkasy,37.0
2023,rural,Cherkasy,36.0
2015,rural,Chernivtsi,
2016,rural,Chernivtsi,
2017,rural,Chernivtsi,
2018,rural,Chernivtsi,
2019,rural,Chernivtsi,14.0
2020,rural,Chernivtsi,19.0
2021,rural,Chernivtsi,17.0
2022,rural,Chernivtsi,18.0
2023,rural,Chernivtsi,24.0
2015,rural,Chernihiv,
2016,rural,Chernihiv,
2017,rural,Chernihiv,
2018,rural,Chernihiv,
2019,rural,Chernihiv,8.0
2020,rural,Chernihiv,12.0
2021,rural,Chernihiv,30.0
2022,rural,Chernihiv,27.0
2023,rural,Chernihiv,34.0
2015,rural,the city of Kyiv,
2016,rural,the city of Kyiv,
2017,rural,the city of Kyiv,
2018,rural,the city of Kyiv,
2019,rural,the city of Kyiv,
2020,rural,the city of Kyiv,
2021,rural,the city of Kyiv,
2022,rural,the city of Kyiv,
2023,rural,the city of Kyiv,
