Year,Category,Unit,including,Value
2015,Reported actual value of technological electric power consumption,percentage,normative value of technological electric power consumption,13.0
2016,Reported actual value of technological electric power consumption,percentage,normative value of technological electric power consumption,13.3
2017,Reported actual value of technological electric power consumption,percentage,normative value of technological electric power consumption,13.2
2018,Reported actual value of technological electric power consumption,percentage,normative value of technological electric power consumption,13.1
2019,Reported actual value of technological electric power consumption,percentage,normative value of technological electric power consumption,12.9
2020,Reported actual value of technological electric power consumption,percentage,normative value of technological electric power consumption,12.8
2021,Reported actual value of technological electric power consumption,percentage,normative value of technological electric power consumption,12.9
2022,Reported actual value of technological electric power consumption,percentage,normative value of technological electric power consumption,14.4
2023,Reported actual value of technological electric power consumption,percentage,normative value of technological electric power consumption,14.7
2015,Reported actual value of technological electric power consumption,million kWh,excess value of technological electric power consumption,-2174.0
2016,Reported actual value of technological electric power consumption,million kWh,excess value of technological electric power consumption,-2179.0
2017,Reported actual value of technological electric power consumption,million kWh,excess value of technological electric power consumption,-2046.0
2018,Reported actual value of technological electric power consumption,million kWh,excess value of technological electric power consumption,-2144.0
2019,Reported actual value of technological electric power consumption,million kWh,excess value of technological electric power consumption,-1820.0
2020,Reported actual value of technological electric power consumption,million kWh,excess value of technological electric power consumption,-1987.0
2021,Reported actual value of technological electric power consumption,million kWh,excess value of technological electric power consumption,-2387.0
2022,Reported actual value of technological electric power consumption,million kWh,excess value of technological electric power consumption,-1594.0
2023,Reported actual value of technological electric power consumption,million kWh,excess value of technological electric power consumption,-1748.0
2015,Reported actual value of technological electric power consumption,percentage,excess value of technological electric power consumption,-1.5
2016,Reported actual value of technological electric power consumption,percentage,excess value of technological electric power consumption,-1.5
2017,Reported actual value of technological electric power consumption,percentage,excess value of technological electric power consumption,-1.4
2018,Reported actual value of technological electric power consumption,percentage,excess value of technological electric power consumption,-1.5
2019,Reported actual value of technological electric power consumption,percentage,excess value of technological electric power consumption,-1.3
2020,Reported actual value of technological electric power consumption,percentage,excess value of technological electric power consumption,-1.5
2021,Reported actual value of technological electric power consumption,percentage,excess value of technological electric power consumption,-1.7
2022,Reported actual value of technological electric power consumption,percentage,excess value of technological electric power consumption,-1.5
2023,Reported actual value of technological electric power consumption,percentage,excess value of technological electric power consumption,-1.8
2015,Technological electric power consumption in distribution system,million kWh,,12611.0
2016,Technological electric power consumption in distribution system,million kWh,,12885.0
2017,Technological electric power consumption in distribution system,million kWh,,12932.0
2018,Technological electric power consumption in distribution system,million kWh,,13223.0
2019,Technological electric power consumption in distribution system,million kWh,,12887.0
2020,Technological electric power consumption in distribution system,million kWh,,12378.0
2021,Technological electric power consumption in distribution system,million kWh,,12758.0
2022,Technological electric power consumption in distribution system,million kWh,,10380.0
2023,Technological electric power consumption in distribution system,million kWh,,9995.0
2015,Technological electric power consumption in distribution system,percentage,,9.79
2016,Technological electric power consumption in distribution system,percentage,,9.9
2017,Technological electric power consumption in distribution system,percentage,,9.89
2018,Technological electric power consumption in distribution system,percentage,,9.84
2019,Technological electric power consumption in distribution system,percentage,,10.35
2020,Technological electric power consumption in distribution system,percentage,,10.13
2021,Technological electric power consumption in distribution system,percentage,,9.86
2022,Technological electric power consumption in distribution system,percentage,,11.11
2023,Technological electric power consumption in distribution system,percentage,,10.99
